!vuentiemie	!vuen^tie^mie
aagkele	aag^ke^le
aaguste	aa^gus^te
aahkove	aah^ko^ve
aahkuve	aah^ku^ve
aajhtere	aajh^te^re
aajjove	aaj^jo^ve
aajjuve	aaj^ju^ve
aajkohke	aaj^koh^ke
aajnehke	aaj^neh^ke
aajngese	aaj^nge^se
aalhkije	aalh^ki^je
aalhtere	aalh^te^re
aallije	aal^li^je
aallohke	aal^loh^ke
aalmehke	aal^meh^ke
aalmoge	aal^mo^ge
aalohke	aa^loh^ke
aaltehke	aal^teh^ke
aaltere	aal^te^re
aamhtese	aamh^te^se
aamhtshreerije	aamhtshree^ri^je
aamore	aa^mo^re
aanghkere	aangh^ke^re
aanoje	aa^no^je
aarehke	aa^reh^ke
aarije	aa^ri^je
aarpere	aar^pe^re
aarpije	aar^pi^je
aartege	aar^te^ge
aasohte	aa^soh^te
aavjere	aav^je^re
aavroske	aav^ros^ke
abpere	ab^pe^re
abpese	ab^pe^se
adjunkte	ad^junk^te
adtjeme	ad^tje^me
aejlege	aej^le^ge
aejvere	aej^ve^re
aerede	ae^re^de
aevlerge	aev^ler^ge
aktore	ak^to^re
aktööre	ak^töö^re
almetje	al^me^tje
altese	al^te^se
alvehtse	al^veh^tse
anghkele	angh^ke^le
angkene	ang^ke^ne
arrije	ar^ri^je
autore	au^to^re
avtehke	av^teh^ke
baabele	baa^be^le
baahkese	baah^ke^se
baahtsege	baah^tse^ge
baaktege	baak^te^ge
baaktetje	baak^te^tje
baaktjese	baak^tje^se
baaletje	baa^le^tje
baalkohke	baal^koh^ke
baamere	baa^me^re
baantjere	baan^tje^re
baapelge	baa^pel^ge
baarhkohke	baarh^koh^ke
baarnetje	baar^ne^tje
baartege	baar^te^ge
baastese	baas^te^se
baavlese	baav^le^se
baedteme	baed^te^me
baehpere	baeh^pe^re
baektehke	baek^teh^ke
baelije	bae^li^je
baenehke	bae^neh^ke
baerehke	bae^reh^ke
baersele	baer^se^le
baetjkere	baetj^ke^re
bahtsehke	bah^tseh^ke
bajsjeme	baj^sje^me
balhkere	balh^ke^re
baltehke	bal^teh^ke
baltohke	bal^toh^ke
baltove	bal^to^ve
bangseme	bang^se^me
bankeme	ban^ke^me
barkeme	bar^ke^me
barkije	bar^ki^je
bartese	bar^te^se
bastege	bas^te^ge
bastese	bas^te^se
beajjetje	beaj^je^tje
beajvese	beaj^ve^se
beakere	bea^ke^re
bealbere	beal^be^re
bealjege	bea^lje^ge
bealjese	bea^lje^se
bealjetje	bea^lje^tje
bealketje	beal^ke^tje
beallohke	beal^loh^ke
bealpere	beal^pe^re
bearehke	bea^reh^ke
beavnere	beav^ne^re
beeletje	bee^le^tje
beeljese	bee^lje^se
beeretje	bee^re^tje
beetsehke	bee^tseh^ke
beetsetje	bee^tse^tje
beetsuve	bee^tsu^ve
bejseme	bej^se^me
bejsjeme	bej^sje^me
berteme	ber^te^me
bertije	ber^ti^je
biehteme	bieh^te^me
bietsehke	bie^tseh^ke
bievnehke	biev^neh^ke
bievrehke	biev^reh^ke
bigkeme	big^ke^me
bijjeske	bij^jes^ke
bijpele	bij^pe^le
bisseme	bis^se^me
blæjjohke	blæj^joh^ke
bodtele	bod^te^le
boedove	boe^do^ve
boehtele	boeh^te^le
boejege	boe^je^ge
boelhketje	boelh^ke^tje
boenege	boe^ne^ge
boenehke	boe^neh^ke
boennehke	boen^neh^ke
boerege	boe^re^ge
boerese	boe^re^se
boerove	boe^ro^ve
boffere	bof^fe^re
bohkere	boh^ke^re
bohtele	boh^te^le
bolhkere	bolh^ke^re
bollege	bol^le^ge
bollere	bol^le^re
boltehke	bol^teh^ke
bommulle	bom^mul^le
bomstere	bom^ste^re
bonhkele	bonh^ke^le
bontege	bon^te^ge
bortege	bor^te^ge
botnjese	bot^nje^se
bovrege	bov^re^ge
bualehke	bua^leh^ke
buarkere	buar^ke^re
buartetje	buar^te^tje
budtese	bud^te^se
buekteme	buek^te^me
buelehke	bue^leh^ke
buhtehke	buh^teh^ke
buhtjije	buh^tji^je
bullere	bul^le^re
bulpere	bul^pe^re
bustetje	bus^te^tje
buvveme	buv^ve^me
buvvije	buv^vi^je
byjngetje	byj^nge^tje
byjrese	byj^re^se
byjreske	byj^res^ke
byölletje	byöl^le^tje
byörketje	byör^ke^tje
byössege	byös^se^ge
byötskeme	byöts^ke^me
byövrehke	byöv^reh^ke
båarkere	båar^ke^re
båastohke	båas^toh^ke
båeruje	båe^ru^je
båerule	båe^ru^le
båeruve	båe^ru^ve
bååhpere	bååh^pe^re
bååhtjere	bååh^tje^re
båårese	båå^re^se
bæsmere	bæs^me^re
bïehkere	bïeh^ke^re
bïekere	bïe^ke^re
bïeljese	bïe^lje^se
bïeltene	bïel^te^ne
bïerjese	bïer^je^se
bïevnese	bïev^ne^se
bïevstere	bïev^ste^re
bïjvele	bïj^ve^le
bïrhketje	bïrh^ke^tje
bïskohpe	bïs^koh^pe
bïsseme	bïs^se^me
bïssije	bïs^si^je
bööhmere	bööh^me^re
daajhtije	daajh^ti^je
daakteme	daak^te^me
daalhkese	daalh^ke^se
daamehke	daa^meh^ke
daanghkere	daangh^ke^re
daanhtsere	daanht^se^re
daanhtsoje	daanht^so^je
daatore	daa^to^re
daavlese	daav^le^se
daejdeme	daej^de^me
daejdije	daej^di^je
daejreme	daej^re^me
daejrije	daej^ri^je
daevere	dae^ve^re
dahkese	dah^ke^se
dahpese	dah^pe^se
daktege	dak^te^ge
daktere	dak^te^re
daltese	dal^te^se
dalvese	dal^ve^se
damtehtje	dam^teh^tje
damtese	dam^te^se
damtije	dam^ti^je
darjome	dar^jo^me
dassije	das^si^je
davhkese	davh^ke^se
davvoje	dav^vo^je
davvome	dav^vo^me
deadtove	dead^to^ve
deahtehke	deah^teh^ke
deakehke	dea^keh^ke
deanere	dea^ne^re
deavene	dea^ve^ne
deehtehke	deeh^teh^ke
dieltehke	diel^teh^ke
dijnege	dij^ne^ge
diskose	dis^ko^se
ditnehke	dit^neh^ke
dobtese	dob^te^se
doedtere	doed^te^re
doedtije	doed^ti^je
doekije	doe^ki^je
doelese	doe^le^se
doelteme	doel^te^me
doenehke	doe^neh^ke
doengese	doe^nge^se
doerehke	doe^reh^ke
dogkese	dog^ke^se
dohkese	doh^ke^se
dohpere	doh^pe^re
doksetje	dok^se^tje
dompere	dom^pe^re
domtese	dom^te^se
dontere	don^te^re
dorjese	dor^je^se
dorkeme	dor^ke^me
dotkeme	dot^ke^me
dotkije	dot^ki^je
dotnele	dot^ne^le
dovhkere	dovh^ke^re
dovnore	dov^no^re
dovtege	dov^te^ge
dualjetje	dua^lje^tje
duamere	dua^me^re
dussine	dus^si^ne
duvtuve	duv^tu^ve
duvvege	duv^ve^ge
duvvehke	duv^veh^ke
dyjnege	dyj^ne^ge
dytnele	dyt^ne^le
dyödtove	dyöd^to^ve
dyölehke	dyö^leh^ke
dyölhkese	dyölh^ke^se
dåaktere	dåak^te^re
dåarjege	dåar^je^ge
dåarjome	dåar^jo^me
dåarmetje	dåar^me^tje
dåarohke	dåa^roh^ke
dåarohtje	dåa^roh^tje
dåaroje	dåa^ro^je
dåarome	dåa^ro^me
dåastoje	dåas^to^je
dåastove	dåas^to^ve
dårretje	dår^re^tje
dåvhketje	dåvh^ke^tje
dåvretje	dåv^re^tje
