abandoneeredh	a^ban^do^nee^redh
abbrevijeeredh	abb^re^vi^jee^redh
abbrevijeeredh	abb^re^vi^jee^redh
adjektiveeredh	ad^jek^ti^vee^redh
administreeredh	ad^mi^nist^ree^redh
agglutineeredh	agg^lu^ti^nee^redh
akkommodeeredh	ak^kom^mo^dee^redh
akkrediteeredh	ak^kre^di^tee^redh
akkumuleeredh	ak^ku^mu^lee^redh
akkumuleeredh	ak^ku^mu^lee^redh
akrediteeredh	a^kre^di^tee^redh
akselereeredh	ak^se^le^ree^redh
akselereeredh	ak^se^le^ree^redh
aksentueeredh	ak^sen^tu^ee^redh
aksentueeredh	ak^sen^tu^ee^redh
aksentueeredh	ak^sen^tu^ee^redh
aksentueeredh	ak^sen^tu^ee^redh
aktioneeredh	ak^ti^o^nee^redh
aktiviseeredh	ak^ti^vi^see^redh
aktualiseeredh	ak^tua^li^see^redh
allittereeredh	al^lit^te^ree^redh
alumineeredh	a^lu^mi^nee^redh
amalgameeredh	a^mal^ga^mee^redh
amortiseeredh	a^mor^ti^see^redh
analyseeredh	a^na^ly^see^redh
anesteseeredh	a^nes^te^see^redh
anglifijeeredh	ang^li^fi^jee^redh
anglifijeeredh	ang^li^fi^jee^redh
anglifiseeredh	ang^li^fi^see^redh
anodiseeredh	a^no^di^see^redh
antedateeredh	an^te^da^tee^redh
antesipeeredh	an^te^si^pee^redh
antesipeeredh	an^te^si^pee^redh
antikiseeredh	an^ti^ki^see^redh
apokopeeredh	a^po^ko^pee^redh
apostrofeeredh	a^post^ro^fee^redh
appersipeeredh	ap^per^si^pee^redh
applaudeeredh	app^la^u^dee^redh
approksimeeredh	app^rok^si^mee^redh
approprijeeredh	app^rop^ri^jee^redh
approprijeeredh	app^rop^ri^jee^redh
argumenteeredh	ar^gu^men^tee^redh
arkaiseeredh	ar^ka^i^see^redh
arkebuseeredh	ar^ke^bu^see^redh
artikuleeredh	ar^ti^ku^lee^redh
assimileeredh	as^si^mi^lee^redh
assosijeeredh	as^so^si^jee^redh
assosijeeredh	as^so^si^jee^redh
assosijeeredh	as^so^si^jee^redh
assosijeeredh	as^so^si^jee^redh
atomiseeredh	a^to^mi^see^redh
atrofijeeredh	at^ro^fi^jee^redh
atrofijeeredh	at^ro^fi^jee^redh
auktioneeredh	auk^ti^o^nee^redh
autoklaveeredh	au^to^kla^vee^redh
autoriseeredh	au^to^ri^see^redh
balkaniseeredh	bal^ka^ni^see^redh
banaliseeredh	ba^na^li^see^redh
barbariseeredh	bar^ba^ri^see^redh
barrikadeeredh	bar^ri^ka^dee^redh
botaniseeredh	bo^ta^ni^see^redh
brutaliseeredh	bru^ta^li^see^redh
bueriesjugniehtedh	bue^rie^sjug^nieh^tedh
degenereeredh	de^ge^ne^ree^redh
