bueriesjugniedidh	bue^rie^sjug^nie^didh
bueriesjågnadidh	bue^rie^sjåg^na^didh
dyölledistielidh	dyöl^le^dis^tie^lidh
dåajvoehtistielidh	dåaj^voeh^tis^tie^lidh
iernjiehtestielidh	ier^njieh^tes^tie^lidh
luejhtiehtistielidh	luejh^tieh^tis^tie^lidh
rïddedestielidh	rïd^de^des^tie^lidh
rïrredestielidh	rïr^re^des^tie^lidh
tsaapedistielidh	tsaa^pe^dis^tie^lidh
ussjedestieldidh	us^sje^des^tiel^didh
ussjedestielidh	us^sje^des^tie^lidh
vaanesovmehtidh	vaa^ne^sov^meh^tidh
åådtjedistielidh	ååd^tje^dis^tie^lidh
