rïjhke _ land, rike _ Nöörjen rïjhkesne lea göökte åålmegh, saemieh jïh laedtieh ; I Norges land er det to folk, samer og nordmenn
reerenasse _ regjering, Kongens råd ; herredømme, makt _ Reerenasse lea nænnoestamme ; Regjeringen har vedtatt
prosjekte _ prosjekt _  Prosjekten leah 5 barkijh ; Prosjektet har 5 arbeidere
eejhtegh _ foreldre _ maanan eejhtegh ; barnets foreldre
råajvarimmie _ tiltak ; iverksettelse 
elmierïjhke _ himmelrike
elkie _ gift sønn ; sønn
leeneståvroe _ länsstyre
dåarjoedåastoje _ støttemottaker
learoevierhtie _ læremiddel
åarjel-saemie _ sørsame
daaroe _ nordmann, svensk 
maanajgïerte _ barnehage 
beajjetje _ fra den dagen _ daan beajjetje plaerie ; dagens avis
tjåktja _ tiur
tjaktja _ tiur
rïjhkebiejjie _ riksdag ; riksdag, regjering, Kongens råd
gåmma _ hustru, kjerring
åejviehearra _ lederprest ; leder ; øvrighetsperson
saemienlaake _ sameloven
barkoesijjie _ arbeidsted, arbeidsplass
tjoejedh _ lyde, gi fra seg lyd
orgaane _ organ
noerhtesaemie _ nordsame
vååjnese _ synskrets
daarpoeh _ fødselsveer
noerhtelaante _ nordland
musihke _ musikk
musïhke _ musikk
vualkoe _ avreise
tïjjeperspektive _ tidsperspektiv
væjsehkevoete _ klokskap, visdom
starne _ helse
saemienskåvloe _ sameskole
raejie _ grense
bahhasvoete _ ondskap
departemente _ departement
mïere _ land nedenfor høyfjellene ; skogs-og kystland 
eksameene _ eksamen 
övtiedimmie _ utvikling ; frembringing
filme _ film
båatsoejieleme _ reindriftsliv
åavtoe _ dampbad ; under
vaejtie _ ønske ; gid! _ vaejtie! ; gid det ville være slik
stoerredigkie _ storting
låavth-gåetie _ teltkåte
konferanse _ konferanse
julevsaemie _ lulesame
govnebuatska _ askefis
unnebelåhkoegïele _ minoritetspråk
saemiengïele _ samisk språk
maanoe _ måned
aske _ måned 
daerpiesvoete _ nødvendighet
aejkiemierie _ tidspunkt 
dååjrehts
darjomedåarjoe _ handlingstøtte
saemiereaktamoenehtse _ samerettsutvalg
maanagiertie _ barnehage
konvensjovne _ konvensjon
ektiedimmiedepartemente _ inkluderingsdepartement
åejvieboelhke _ hoveddel
voete _ måte
laantedigkie _ landstinget
jaavvoe _ mel
gievlieståvroe _ 
sveerjengïele _ svensk språk
rïektesvoete _ riktighet ; sannhet ; rettferdighet ; ærlighet 
gïelenjoelkedasse _ språkregel
gæjhta _ takk
maadth-skuvle _ grunnskole
jaepietsiehkie _ årsmerke
gïlle _ gressbevokst, skogløs bakkeknaus
maahtoedepartemente _ kunnskapsdepartement
aalkoealmetje _ urfolksmenneske
talente _ talent
luvlesaemie _ lulesame
beetnehvierhtie _ pengemiddel
learoesoejkesje _ læreplan
noerhtesaemiengïele _ nordsamisk språk
lijhkiemåvhkah _ underbukse
bovredh _ klynke, sutre ; surre
ålkoelaante _ utlandet
tjïhke _ snøklump 
saemiereakta _ samisk rettighet
julevsaemiengïele _ lulesamisk språk
joekehtse _ forskjell ; skilnad
histovrije _ historie
gïemhpe _ godt menneske ; snilt dyr ; velgjører
demokratije _ demokrati
