øvtiedimmiesoptsestalleme  _  utviklingssamtale
dïedtije _ ansvarlig ; forlegger
romere _  romer
artihkele _  artikkel
baakoegærja  _  ordbok
duedtie  _  tillegg ; støtte ; sløyd 
aalkoe-almetje  _  urmenneske
elektronihke  _  elektronikk
laakeuvtelasse _ lafforslag
goevtese  _  avdeling
raajese  _  setning
mandaate  _  mandat
konsultasjovne  _  konsultasjon 
åålmegebiejjie  _  folkedag
fylhkentjïelte  _  fylkeskommune
fylhkendigkie  _  fylkesting
hotelle  _  hotell
proposisjovne  _  preposisjon 
lijhkie-måvhka  _  underbukse
draama  _  drama 
beetneh-vierhtie  _  pengemiddel 
båatsoe-burrie  _  reineier
barkoesoejkesje  _  arbeidsplan
regijovne  _  region
profeete _  profet
predikativehammoe  _  predikativform
pleenume _  plenum
øvtiedimmie-soptsestalleme  _  utviklingssamtale 
rektovre  _  rektor
millijovne  _  million
lijhkie-sjåarhtoe  _  underskjorte
ekonomije  _  økonomi
substantive  _  substantiv
saemien-gïele  _  samisk språk ; samisk stemme
maanasåjhtoe _ barneomsorg
båatsoe-laake  _  reindriftslov
gïelejarnge  _  språksenter
smaareh-tjïerte  _  dialekt
partije  _  parti
jïlleskuvle  _  høyskole
vierhkiedajve  _  
mïrrestalleme  _  likestilling, jevnbyrdighet
gaske-viermie  _  Internett
åadtja _ skåret kjøtt; muskel
vihtiesvoetepolïjse  _  sikkerhetspolitiet
veeljemedajve  _  valgområde
unnebelåhkoepolitihke  _  minoritetspolitikk
miehtjiesdajveståvroe  _  utmarksstyre
goerehtallemekommisjovne  _  granskningskommisjon
båatsoedajve  _  reindriftsområde
mearoesaemie  _  havsame
laake-uvtelasse _ lovforslag
laage _ lag
gaertjiedidh _ gjøre trangere ; innskrenke ; begrense
fylhkemaennie - fylkesmann
eejhtegi-moenehtse _ foreldreutvalg
dåarjege _ støtte
politihkere _ politiker
maanasïjte _ barnesiida
beajoe _ hi
ööhpehtimmiedirektorate _ utdanningsdirektorat
åålmehreakta _ menneskerettighet
saemiedigkielaake _ sametingslov ; lov om sameting
politijhke _ politikk
miehtjiesdajvedåapmoestovle _ utmarksdomstol
lïhkesdajve _ nærmiljø
johkemehkie _ elvekrok
ietnien-gïele _ morsmål
eatnemelearoe _ naturlære
dorjese _ produkt 
skåajjesnjeara _ skogsmus
ööhpehtimmielaake _ opplæringslov
jilleskuvle _ høyskole
gåetiegïele _ hjemmespråk
gïele-åtnoe _ språkbruk
ektievoete-jieleme _ samliv
båatsoe-jieleme _ reindriftsliv
buertiegærja _ møtebok, protokoll
bïegke-faamoe _ vindkraft 
barkoe-plaane _ arbeidsplan
barkoeplaane _ arbeidsplan 
barkoedajve _ arbeidsområde
vierhtiejarnge _ ressurssenter
terminologije _ terminologi
såjhtoedepartemente _ omsorgsdepartement
saetniesvoete _ sannhet
mieriesoejkesje _ tidsplan
maalestahke _ måltid
gööktesh _ to mennesker sammen 
gïelemoenehtse _ språknemd
fylhkeålma _ fylkesmann
faage-aamhtese _ fagemne
bijjie _ oppe, øvre _ mij bijjie jih mij vuelie dan _ hva er oppe og hva er nede på den
vaerie-laake _ fjellov
tjompere _ bekymring 
skuvle-jaepie _ skoleår
rïjhkebiejjielïhtsege _ riksdagsmedlem
reaktatsiehkie _ rettsituasjon
pihtesaemie _ pitesame
mearoegööleme _ havfiske
latjka _ løkke ; hempe
faaleldahke _ tilbud
dåapmoe dom
alternative _ alternativ
åejvie-ulmie _ hovedmålsetting
ulmiedåehkie _ målgruppe
suffïkse _ suffiks
suffikse _ suffiks
saemienööhpehtimmie _ samiskopplæring
predikate _ predikat
politije _ politi
maadthööhpehtimmie _ grunnopplæring
kultuvreraerie _ kulturråd
gïelebiesie _ språkbad
gærhkoedepartemente _ kirkedepartemente
daata _ data
aalkoetsiehkie _ utgangspunkt  
åejvieladtjh _ høye øvrighetspersoner, myndigheter
vuemsie _ spann, avstanden mellom tommel og pekefinger _ gïeten vuepsie langspann, avstanden mellom tommel og langfinger  ;  favn (sïlle)
vaerieståvroe _ fjellstyre
tjaaleldahke _ skrift, dokument
svienskegïele _ svenskpråk
soejkesjeboelhke _ tidsplan
skuvlen-åejvie _ skoleleder
salme _ salme
radijove _ radio
raajesetseegkeme _ syntaks, setningsoppbygging
prosenteraaste _ prosentgrense
prograamme _ program
miehtjiesdajve _ utmark, ødemark
maana-baelie _ barndomstid
maanagïerte-laake _ barnehagelov
lohkehtæjjaööhpehtimmie _ lærerutdanning
loffe _ loff
learoe-plaane _ læreplan
learoegærja _ lærebok
kultuvre-aerpielæstoe _ kulturarvliste
kommisjovne _ kommisjon
jielemevuekie _ levemåte
gïelebarkoe _ språkarbeid
gåetiegielie _ hjemmespråk
daataviermie _ datanett
bigkemelaake _ bygningslov
ålja _ olje
skïemtjelasse _ sykdom
saedtiepliehkie _ sandlandskap, tørt, flatt landskap; mindre skogløs slette
jielijeguvvie _ film
jearsoesvoete _ trygghet
gaske-biejjie _ middag
faage-aamhtesh _ fagemner
budsjedtebarkoe _ budsjettarbeid - 
aajma _ uvær, snøstorm
viermiesijjie
variasjovne _ variasjon
vaerie-ståvroe _ fjellstyre
soptsestimmie-vuekie _ snakkemåte
saemien-gielie _ sameflyttelag, en gruppe  av samenomadefamilier som flytter sammen 
saemienlåhkoe _ samemanntall
saaka _ sag
onne-vïelle _ lillebror
noerhte-saemie _ nordsame
maanagaertie _ barnehage
learoeplaane _ læreplan
kuvsje-plaane _ kursplan
kultuvreövtiedimmie _ kulturutvikling
konsultasjovnelaake _ konsultasjonslov
ietnien-gielesijjie _ morsmålplass
gïeleööhpehtimmie _ språkopplæring
gærja-gåetie _ bibliotek
grammatihke _ grammatikk
giesie-eejehtimmie _ sommerferie
gaskesadtemevuekie _ kommunikasjonsmåte
domtese _ følelse
daerpies-voete _ nødvendighet
daatabaase _ database
båatsoeburrie-skuvle _ reindriftsskole
baenie-dåaktere _ tannlege
vieksiesvoete _ styrke, kraft
toelhke _ tolk
seksjovne _ seksjon
saemienskuvle _ sameskole
saemiensiebrie _ sameorganisasjon
saemienkultuvre _ samekultur
saemiedigkieveeljeme _ sametingsvalg
posisjovne _ posisjon
plaane _ plan
pedagogijhke_ pedagogikk
nummere _ nummer
maana-gïerte _ barnehage
konsonante _ konsonant
konklusjovne _ konklusjon
kapïhtele _ kapittel
kaarhte _ kart
jearsoe _ trygg, tillitsfull
iemie _ naturlig
hearlohke-voete _ herlighet
gïermesje _ slange
gïeledajve _ språkområde
gaskesadtemegïele _ kommunikasjonspråk
båatsoe-sïjte _ reinsiida
ööhpehtimmiegoevtese _ opplæringsavdeling
årrome-sijjie _ boplass
