bajkedh+V+Ind+Prs+Sg3	bajkoe

barhkedh+V+Ind+Prs+Sg3	barhkoe

bihkedh+V+Ind+Prs+Sg3	bæhka

budtedh+V+Ind+Prs+Sg3	budtie
budtedh+V+Ind+Prs+Sg3	bådta

buvvedh+V+Ind+Prs+Sg3	båvva

bårrestohtedh+V+Ind+Prs+Sg3	bårrestohtoe

dalhkedh+V+Ind+Prs+Sg3	dalhka

darhkedh+V+Ind+Prs+Sg3	darhkoe
darhkedh+V+Ind+Prs+Sg3	darhka

dovvesovvedh+V+Ind+Prs+Sg3	dovvesåvva

dååjredh+V+Ind+Prs+Sg3	dååjroe

dïjmedh+V+Ind+Prs+Sg3	dæjma

dïjpedh+V+Ind+Prs+Sg3	dæjpa

gaatelassjedh+V+Ind+Prs+Sg3	gaatelassjoe

gadtjedh+V+Ind+Prs+Sg3	gadtja

galhkedh+V+Ind+Prs+Sg3	galhkoe

girmedh+V+Ind+Prs+Sg3	gærma

govledh+V+Ind+Prs+Sg3	govloe
govledh+V+Ind+Prs+Sg3	gåvla

guhtsedh+V+Ind+Prs+Sg3	gåhtsa

jamhkedh+V+Ind+Prs+Sg3	jamhkoe

njoetsedh+V+Ind+Prs+Sg3	njuatsa

nuktedh+V+Ind+Prs+Sg3	nuktie

nïekedh+V+Ind+Prs+Sg3	neaka

nïetkedh+V+Ind+Prs+Sg3	neatka

provhkedh+V+Ind+Prs+Sg3	provhkoe
provhkedh+V+Ind+Prs+Sg3	pråvhka

skuvledh+V+Ind+Prs+Sg3	skuvla

svijredh+V+Ind+Prs+Sg3	svijrie
svijredh+V+Ind+Prs+Sg3	svæjra

syjhtedh+V+Ind+Prs+Sg3	syjhta

tjalkedh+V+Ind+Prs+Sg3	tjalkoe
tjalkedh+V+Ind+Prs+Sg3	tjalka

tjihtedh+V+Ind+Prs+Sg3	tjihtie
tjihtedh+V+Ind+Prs+Sg3	tjæhta

tjïrredh+V+Ind+Prs+Sg3	tjærra

tsegkedh+V+Ind+Prs+Sg3	tsagka

vïssjedh+V+Ind+Prs+Sg3	væssja

öörnedh+V+Ind+Prs+Sg3	öörna

