"aadtjegkh"	"adv"	"nettopp, nylig"
"aaj"	"adv"	"også, igjen"
"aales"	"adv"	"fredelig, fritt for udyr"
"aalloes"	"adv"	"går for seg sjøl"
"aarehke"	"adv"	"tidlig"
"aavonte"	"adj"	"avundsjuk"
"aejkien"	"adv"	"den gangen"
"aelhkies-laakan"	"adv"	"lettvint måte på-"
"alvas"	"adv"	"forferdelig"
"baanhtsan"	"adv"	"rådløs, bli rådløs,"	"(få det) travelt"
"barras"	"adv"	"spredt"
"bealese"	"adv"	"borttil, ved siden av"
"beavloes"	"adj"	"flekkvis bart"
"bijjede"	"adv"	"ovenfra"	"oppe"
"bijjiebasse"	"adv"	"opp lengre-"
"buerebe"	"adv"	"bedre"
"buerie-laakan"	"adv"	"god måte på-"
"bueriebadtje"	"adv"	"bedre litt-"
"bååktjehke"	"adv"	"verkende, vondt"
"bæjjese"	"adv"	"opp, oppover"
"bøøremes"	"adj"	"best"
"daebpede"	"adv"	"herfra"
"daebpelen"	"adv"	"hitover"
"daerpies"	"adv"	"nødvendig"
"dallah"	"adv"	"straks, øyeblikkelig"
"dallahmasten"	"adv"	"nesten"
"mahte"	"adv"	"nesten"
"dïehre"	"adv,"	"derfor"
"gaavhtan"	"adv,"	"derfor"
"dan"	"adv"	"så"
"darhke"	"adv"	"egentlig"
"dellie maa"	"adv"	"endelig"
"duekesne"	"adv"	"bakom"
"duakan"	"adv"	"bakom"
"dubpede"	"adv"	"der borte fra"
"dubpene"	"adv"	"der borte"
"dubpiebasse"	"adv"	"bort"	"(e) lengre-"	
"duvvene"	"adv"	"kysten ved-"	"(utover til kysten-dåvvese)"
"dån"	"adv"	"vel,"	"(du vel)"
"dåvvese"	"adv"	"ut fra land"
"easkah"	"adv"	"da først, nettopp da"
"ektede"	"adv"	"bestandig"
"ennje, annje"	"adv"	"ennå"
"faahketji"	"adj"	"plutselig"
"faakhetji"	"adj"	"plutselig"
"fahkes"	"adv"	"våken"
"fiere-guhte"	"adv"	"hver og en"	"(på hver side-fiere guhte bieliem/fiere-guhte"	"(n) bielesne)"	"(på hver sin kant-fiere guhtene haeresne)"	"(til hver side-giekh bealan)"
"gaajhke"	"adv"	"alt"
"gaajhke-såårts"	"adv"	"alle slag"
"gamte"	"adj"	"brei"
"gellien aejkien"	"adv"	"mange ganger"
"gidtjh"	"adv"	"nemlig, sikkert"
"gieltesne"	"adv"	"spent"
"giengeles"	"adj"	"dyp"
"gietskemes"	"adv"	"nærmest"
"gietskiebasse"	"adv"	"nærmere"
"goh"		"adv"	"da"	"(ikke)"
"gosse"	"adv"	"hvor hen"
"gubpene"	"adv"	"hvor"
"guhkiem"	"adv"	"lenge"	"(du ble jo så lenge borte -guhkiem hov sjidtih)"
"gåabph"	"adv"	"hvor, hvor hen"
"gåavode"	"adv"		"krum"
"gåavede"	"adv"		"krum"
"gåebpelen"	"adv"	"hvor, i hvilken retning"
"gåetesne"	"adv"	"heime"
"gåhkese"	"adv"	"langt av sted"
"gårroeh"	"adv"	"venstre"
"halhta tjalhta"	"adv"	"nesten umulig"
"harhtsoeh"	"adj/adv"	"brå"
"hijven"	"adj/adv"	"bra, god, godt"
"hijven-laakan"	"adv"	"bra måte på en-"
"hov"	"adv"	"da, jo"
"hujnesne"	"adv"	"mismodig, er mismodig"
"iktst"	"adv"	"alltid"
"jaame"	"adj"	"død"
"jallan"	"adv"	"knapt"
"jallese"	"adv"	"vestover"
"jeanasommes"	"adv"	"mesteparten"
"jijne"	"adv"	"mye"
"jijnjemes"	"adv"	"mest"
"joekoen"	"adv"	"særs, særdeles, særskilt"
"johke-beala"	"adv"	"nedetter eller oppetter elva"
"juhtele"	"adv"	"glir/renner lett"
"jåasoeh"	"adj"	"dum, toskete"
"kaanne"	"adv"	"kanskje"
"luste"	"adv"	"moro, morsomt"
"luvlelen"	"adv"	"østover"
"maa"	"adv"	"jo visst, sannelig"	"(av amma)"
"maaje"	"adv"	"riktignok"
"maam-gih"	"adv"	"noe som helst,"	"(ikke) noe som helst"
"madtege"	"adv"	"lite av, svært lite av"		"(madtege graesie-lite gress),"	"( madtege beapmoeh),"
"madtege"	"adj"	"dårlig passende, passelig"
"madtjele"	"adj"	"blid og fornøyd"
"man guhkiem"	"adv"	"hvor lenge, om litt, etter en stund"	"- adv."	"(man guhkiem, dellie govlem skuehtie baahtsa-om litt hører jeg et skudd som løsner)"
"mearas, mearan"	"adv"	"mens"
"mej varki"	"adv"	"langt om lenge"	"(fast uttrykk)"	"(mej varki, dellie dan dållen gåajkoe båata)"
"minngebe"	"adv"	"den neste, følgende"
"minngemes"	"adv"	"siste den-"
"måedtie-såårts"	"adv"	"forskjellig slags"
"mænngan"	"adv"	"siden, etterpå"
"mænngese"	"adv"	"bakover"
"naa"	"adv"	"nokså, temmelig"
"nagke, nagkh"	"adv"	"altså, slik nå jeg forstår"
"noerhtelen"	"adv,"	"nordom"
"noerhtese"	"adv"	"nordover"
"nov amma"	"adv"	"ja visst, jo da"
"nuekies"	"adv"	"nok, tilstrekkelig"
"nåake-laakan"	"adv"	"dårlig vis på-"
"nåå"	"adv"	"jaså"
"ohtje"	"adv"	"liten, litt"
"ojhte"	"adv"	"nettopp, jo visst"
"okteges"	"adj"	"avsides"
"oktegh"	"adv"	"alene"
"oktegims"	"adv"	"alene, for seg"
"olkese"	"adv"	"ut"
"onne"	"adv"	"liten"
"onn’ohtje"	"adj"	"bitte liten"
"praare"	"adj"	"bratt, vanskelig"
"raajan"	"adv"	"like til"
"raakte"	"adv"	"endog, nesten"
"raakth"	"adv"	"(ikke)"	"nettopp"	"(ikke), slettes"
"raakth"	"adv"	"like"	"(etter)"
"sjiehtele"	"adj"	"passende"
"sjiehteles"	"adj"	"passende"
"sneehpes-laakan"	"adv"	"på en hurtig måte"
"sån"	"adv"	"vel"
"tjiehpies-laakan"	"adv"	"netthendt måte på-"
"tjietjelen"	"adv"	"alene, for seg sjøl"
"tjietjele"	"adv"	"alene, for seg sjøl"
"varkebe"	"adj"	"fortere"
"varkemes"	"adj"	"fortest"
"varki"	"adj"	"fort"
"vesties-laakan"	"adv"	"stygt, forferdelig"
"vihties"	"adv"	"visst"
"voestegh"	"adj"	"først"
"vuelelen"	"adv"	"nedenfor"
"vueliebasse"	"adv"	"ned"	"(e) lenger-"	"- adv."
"våålese"	"adv"	"nedover, ned"
"ålkene"	"adv"	"ute"
"ålkide"	"adv"	"utenfra, fra ute"
"ålkolde"	"adv"	"utenpå, utvendig"
"ånnetji"	"adv"	"litt"
"ååpsen"	"adv"	"altfor"
faagka, faagkan 	litt for, betydelig, nesten for 	(daate hov lea faagkan buerebe-denne er betydelig bedre; faagkan boerehke-nesten for snill; fagkan  jåalhkoes-nesten for snar til å springe; faagkan gyödtsehke-nesten for smal; faagkan moehtege-nesten for mye snø til å farte) 	(treavkah fagkan åenehkes-skiene er litt for korte)															
faagka, faagkan 	nesten for, litt for, betydelig 	(daate hov lea faagkan buerebe-denne er betydelig bedre; faagkan boerehke-nesten for snill; fagkan  jåalhkoes-nesten for snar til å springe; faagkan gyödtsehke-nesten for smal; faagkan moehtege-nesten for mye snø til å farte)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
