
ENH_SNAVN ENH_SSROBJ_ID ENH_SSR_ID ENH_SNAVN
------------- ---------- ------------------------------------------------------------
Stor-Svuku 180987 341674 Svahke
Dukfonna 198598 741207 Åejjiendielhtie
Storrindvatnet 198601 741203 Vueliejaevrie
Bjørnaråa 198600 741205 Biessenmehkie
Tangvatna 198610 741201 Njuanajaevrieh
Langvatnet 198611 741202 Bijjiejaevrie
Storfjellet 221703 721477 Fiellentjahke
Tekssjøheia 226799 731845 Aanteresvaerie
Finnburtjønna 226847 731847 Buvrientjonne
Finnvollheia 226686 753477 Raassje
Gurbheia 229744 731850 Gurpenvaerie
Gurben 226947 731848 Gurpenjaevrie
Grasvassdalen 226632 731804 Kraesievaajja
Grasvatnet 226633 731822 Kraesiejaevrie
Skurvvatnet 226042 731834 Roepsenjaevrie
Grasvasskardet 226565 731810 Kraesievaajja
Storheia 226566 731816 Jorpetjahke
Gruvsjøfjellet 194359 346608 Klamhkese
Viglåa 194239 196124 Guevtelsjohke
Tjerrålia 201125 202970 Tjærrååge
Tjerråa 201083 202928 Spranhkenjohke
Tjerråtjønna 201076 202921 Spranhke
Knuglan 201100 202945 Rihkedgåetietjahke
Hydda 194242 196127 Hadtanjohke
Finnfloklumpan 194235 196120 Tjåårhte
Storhøgda 201123 754030 Rihkedtjahke
Bjørnhåmmåren 201137 202982 Biernevæjra
Fjellsjøen 201106 754027 Raarhkovejaevrie
Haftorsstøten 194229 346500 Gihpergaejsie
Nersjøskarven 200818 346614 Jorpetjahke
Kjølifjellet 200644 202489 Gåebrie
Nea 206838 346549 Ganka
Skarvan 213507 215326 Tjohkeleh
Nautfjellet 213559 754043 Gaavtjejahke
Fongen 206293 341385 Lopmesvaerie
Gjetbekken 200918 346548 Niejtenjohke
Skardsfjella 200960 346536 Gaejsietjahke
Skarpdalen 206642 346581 Skaarhpdaelie
Blåhåmmårkleppen 206632 341383 Snjaltje
Vestre_Falkfangarvola 206631 346559 Haamehke
Ramsjøelva 206645 346600 Raammanjohke
Storsanka 206652 346580 Saanka
Bårdsegga 206657 346590 Rijshåake
Grønvola 200600 754047 Jolhtere
Skreddarsjøane 200907 202752 Faatnajabpejaevrieh
Skarddøra 200988 202833 Durrie
Røttesåsen 206390 346598 Njuanabaahke
Fongtrøa 206326 346601 Tripmehtahke
Ramsjøen 206305 346599 Raammanjaevrie
Ettfjellet 206283 341387 Aktetjahke
Brokksjøvola 206741 346587 Bråehke
Gammelgruvhøgda 206717 346596 Tsoevtsedalvese
Mulvola 206713 346588 Kluvhtege
Kløftbekken 206700 346589 Klivhtege
Esandtjønna 206690 346558 Raavtejaevrie
Stormælen 206684 346557 Guhkiesåarka
Esandsjøen 206683 346560 Saantenjaevrie
Gardkleppen 206667 346592 Njuanatjahke
Røkleppen 206665 346591 Mietietjahke
Blåkkåkleppen 206662 346586 Blåahke
Fiskåa 206708 208544 Åarkanjohke
Fiskåhøgda 206704 208540 Svaaletjahke
Bustvola 206640 754058 Klievmie
Litlkleppen 200529 202374 Gearhkehke
Sørskardsfjellet 2209660 346546 Åarjelgaejsie
Nordskardsfjellet 2209659 346544 Noerhtegaejsie
Gråsida 201010 754052 Kraeviesgealta
Storfjellet 201070 202915 Guevtele
Hyddsjødalen 201081 202926 Hadtandurrie
Viglsjøen 201102 754022 Guevtelsjaevrie
Riskleppen 206657 346590 Rijshåake
Sylan 2200924 341604 Bealjehkh
Kranka 206656 346578 Kraanka
Kranklia 206649 346575 Kraanka
Skjækerlia 224633 342952 Jijjenvaartoe
