åejvies	åejvies+A+Attr

gaarmanæjja	gaarmanæjja+N+Sg+Nom

juvdeladtje	juvdeladtje+N+Sg+Nom

saatna	saatna+N+Sg+Nom

aktesne	akte+Num+Sg+Ine
aktesne	aktesne+Adv

åvtehkehearra	åvtehke+v1+N+Cmp/SgNom+Cmp#hearra+N+Sg+Nom
åvtehkehearra	åvtehkehearra+N+Sg+Nom

jisraelehke	jisraelehke+N+Sg+Nom

saatnan	saatna+N+Sg+Gen
saatnan	saatnan+Adv

vijsiesvoete	vijsies+A+Cmp/Attr+Cmp#voete+N+Sg+Nom
vijsiesvoete	vijsies+A+Attr+Der/vuota+N+Err/Orth+Sg+Nom
vijsiesvoete	vijsies+A+Attr+Der/vuota+N+Sg+Nom
vijsiesvoete	vijsiesvoete+N+Sg+Nom

jeatjah	jeatjebe+Pron+Indef+Attr
jeatjah	jeatjah+A+Attr

fïereguhte	fïereguhte+Pron+Indef+Sg+Nom

apostele	apostele+N+Sg+Nom

sviertie	sviertie+N+Sg+Nom

viertiedasse	viertiedasse+N+Sg+Nom

tjahkessijjie	tjahkessijjie+N+Sg+Nom

aavre	aavre+N+Sg+Nom
aavre	aavre+v1+A+Sg+Nom
aavre	aavre+v1+A+Attr

vidtjienïere	vidtjie+N+Cmp/SgNom+Cmp#nïere+N+Sg+Nom
vidtjienïere	vidtjienïere+N+Sg+Nom

vaajt	vaajt+Pcle

åejvieh	åejvie+N+Pl+Nom
åejvieh	åejvieh+N+Pl+Nom
åejvieh	åejvies+A+Pl+Nom

syjhtehtasse	syjhtehtasse+N+Sg+Nom

krehpie	krehpie+N+Sg+Nom

synagååge	synagååge+N+Sg+Nom

fariseladtje	fariseladtje+N+Sg+Nom

slaave	slaave+N+Sg+Nom
slaave	slaave+A+Attr

vyörtegs	vyörtegs+A+Attr
vyörtegs	vyörtegs+A+Sg+Nom

aajne	aajne+A+Attr

faangke#gåetie	faangke#gåetie	+?

jeatjah-jaahkoeladtje	jeatjah-jaahkoeladtje+N+Sg+Nom

jïjnjesh	jïjnjesh+Err/Orth+Pron+Coll+Pl+Nom
jïjnjesh	jïjnjesh+Pron+Coll+Pl+Nom

åssjalommese	åssjalommese+N+Sg+Nom
åssjalommese	åssjalomme+N+Sg+Ill
åssjalommese	åssjalommes+N+Err/Orth+Sg+Ill

gåatan	gåetie+N+Sg+Ill
gåatan	gåata+N+Sg+Gen
gåatan	gåatan+Adv

gåabpoeh	gåabpoeh+Adv+Subqst
gåabpoeh	gåabpoeh+Adv

bahhas	bahhas+A+Attr

akt	akt+Adv+ABBR+Gram/IAbbr

åajva	åajva+N+Sg+Nom
åajva	åajvoeh+A+Sg+Nom

aejlieskodtje	aejlieskodtje+N+Sg+Nom

