"Åarjelsaemien gïele"	"Nöörjen gïele"	"Baakoe-tjïerhte"	"Baakoen syjjehtimmie, nom. jïh ill."	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"
"Noerhte-Europa"	"Nordeuropa"	"prop"	"Noerhte-Europa, Noerhte-Europese"	"Laante"	"Land"
"Danmaarhke"	"Danmark"	"prop"	"Danmaarhke, Danmaarhkese"	"Laante"	"Land"
"Ålaante"	"Åland"	"prop"	"Ålaante, Ålaantese"	"Laante"	"Land"
"Europa"	"Europa"	"prop"	"Europa, Europese"	"Laante"	"Land"
"Jillie-Europa"	"Vesteuropa"	"prop"	"Jillie-Europa, Jillie-Europese"	"Laante"	"Land"
"Shetlaante"	"Shetland"	"prop"	"Shetlaante, Shetlaantese"	"Laante"	"Land"
"Irlaante"	"Irland"	"prop"	"Irlaante, Irlaantese"	"Laante"	"Land"
"Englaante"	"England"	"prop"	"Englaante, Englaantese"	"Laante"	"Land"
"Skottlaante"	"Skotland"	"prop"	"Skottlaante, Skottlaantese"	"Laante"	"Land"
"Walese"	"Wales"	"prop"	"Walese, Walesese"	"Laante"	"Land"
"Kontineente"	"Kontinenten"	"prop"	"Kontineente, Kontineentese"	"Laante"	"Land"
"Beneluxe-laanth"	"Benelux-landene"	"prop"	"Beneluxe-laanth, Beneluxe-laantide"	"Laante"	"Land"
"Nederlaante"	"Nederland"	"prop"	"Nederlaante, Nederlaantese"	"Laante"	"Land"
"Hollaante"	"Holland"	"prop"	"Hollaante, Hollaantese"	"Laante"	"Land"
"Luxemburge"	"Luxembourg"	"prop"	"Luxemburge, Luxemburgese"	"Laante"	"Land"
"Åarjel-Europa"	"Sør-Europa"	"prop"	"Åarjel-Europa, Åarjel-Europese"	"Laante"	"Land"
"Andorra"	"Andorra"	"prop"	"Andorra, Andorrese"	"Laante"	"Land"
"Monaco"	"Monaco"	"prop"	"Monaco, Monacose"	"Laante"	"Land"
"San Marino"	"San Marino"	"prop"	"San Marino, San Marinose"	"Laante"	"Land"
"Vatikanstaate"	"Vatikanstaten"	"prop"	"Vatikanstaate, Vatikanstaatese"	"Laante"	"Land"
"Portugale"	"Portugal"	"prop"	"Portugale, Portugalese"	"Laante"	"Land"
"Malta"	"Malta"	"prop"	"Malta, Maltese"	"Laante"	"Land"
"Azorh"	"Azorene"	"prop"	"Azorh, Azoride"	"Laante"	"Land"
"Greklaante, Hellase"	"Hellas"	"prop"	"Greklaante, Greklaantese; Hellase, Hellasasse"	"Laante"	"Land"
"Troja"	"Troja"	"prop"	"Troja, Trojese"	"Laante"	"Land"
"Sparta"	"Sparta"	"prop"	"Sparta, Spartese"	"Laante"	"Land"
