"Åarjelsaemien gïele"	"Nöörjen gïele"	"Baakoe-tjïerhte"	"Baakoen syjjehtimmie, nom. jïh ill."	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"	"Baakoen gaaltije"
"Noerhte-Europa"	"Nordeuropa"	"prop"	"Noerhte-Europa, Noerhte-Europese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Danmaarhke"	"Danmark"	"prop"	"Danmaarhke, Danmaarhkese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Ålaante"	"Åland"	"prop"	"Ålaante, Ålaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Europa"	"Europa"	"prop"	"Europa, Europese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Jillie-Europa"	"Vesteuropa"	"prop"	"Jillie-Europa, Jillie-Europese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Shetlaante"	"Shetland"	"prop"	"Shetlaante, Shetlaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Irlaante"	"Irland"	"prop"	"Irlaante, Irlaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Englaante"	"England"	"prop"	"Englaante, Englaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Skottlaante "	"Skotland"	"prop"	"Skotlaante, Skotlaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Walese"	"Wales"	"prop"	"Walese, Walesese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Kontineente"	"Kontinenten"	"prop"	"Kontinente, Kontinentese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Beneluxe-laanth"	"Benelux-landene"	"prop"	"Beneluxe-laanth, Beneluxe-laantide"	"Laante"	"Land"	"Elgå ref.gruppe"
"Nederlaante"	"Nederland"	"prop"	"Nederlaante, Nederlaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Hollaante"	"Holland"	"prop"	"Hollaante, Hollaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Luxemburge"	"Luxembourg"	"prop"	"Luxemburge, Luxemburgese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Åarjel-Europa"	"Sør-Europa"	"prop"	"Åarjel-Europa, Åarjel-Europese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Andorra"	"Andorra"	"prop"	"Andorra, Andorrese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Monaco"	"Monaco"	"prop"	"Monaco, Monacose"	"Laante"	"Land"	"Elgå ref.gruppe"
"San Marino"	"San Marino"	"prop"	"San Marino, San Marinose"	"Laante"	"Land"	"Elgå ref.gruppe"
"Vatikanstaate"	"Vatikanstaten"	"prop"	"Vatikanstaate, Vatikanstaatese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Portugale"	"Portugal"	"prop"	"Portugale, Portugalese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Malta"	"Malta"	"prop"	"Malta, Maltese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Azorh"	"Azorene"	"prop"	"Azorh, Azoride (ill.pl.)"	"Laante"	"Land"	"Elgå ref.gruppe"
"Greklaante, Hellase"	"Hellas"	"prop"	"Greklaante, Hellase, Greklaantese, Hellasasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Troja"	"Troja"	"prop"	"Troja, Trojese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Sparta"	"Sparta"	"prop"	"Sparta, Spartese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Athene"	"Athen"	"prop"	"Athene, Athenese / Atene-Atenese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Tysklaante"	"Tyskland"	"prop"	"Tysklaante, Tysklaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Sveitse"	"Sveits"	"prop"	"Sveitse, Sveitsese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Österrijhke"	"Østerrike"	"prop"	"Österrijhke, Österrijhkese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Liechtensteine"	"Liechtenstein"	"prop"	"Liechtensteine, Liechtensteinese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Romerrijhke"	"Romerrike"	"prop"	"Romerrijhke, Romerrijhkese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Nordimbralaante"	"Nordimbraland"	"prop"	"Nordimbralaante, Nordimbralaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Balkane"	"Balkan"	"prop"	"Balkane- Balkanasse"	"Laante"	"Land"	"Elgå ref.gruppe"
"Bosnia-Hercegovina"	"Bosnia-Hercegovina"	"prop"	"Bosnia-Hercegovina, Bosnia-Hercegovinese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Baltikume"	"Baltikum"	"prop"	"Baltikume, Baltikumese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Litauene"	"Litauen"	"prop"	"Litauene, Litauenese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Estlaante"	"Estland"	"prop"	"Estlaante, Estlaantese"	"Laante"	"Land"	"Elgå ref.gruppe"
"Noerhte-Pole"	"Nordpolen"	"prop"	"Noerhte-Pole, Noerhte-Polese"	"Laante"	"Land"	"Elgå ref.gruppe"
