"Åarjelsaemien gïele"	"Nöörjen gïele"	"Baakoe-tjïerhte"	"Baakoen syjjehtimmie, nom. jïh ill."	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"	"Baakoen gaaltije"	"Termgruppas merknad"
"gujnesjupmele"	"gudinne"	"prop"	"gujnesjupmele,    gujnesjupmielasse"	"Jupmele mij gujne"	"kvinnlig gud"	"Elgå ref.gruppe"	
"keejsere"	"kejser"	"prop"	"keejsere, keejserasse"	"Akte mij laantem reerie. Seamma goh gånka."	"En som styr ett land, motsvarende konge"	"Elgå ref.gruppe"	
"staalehke"	"helt/heltinne"	"prop"	"staalehke, staalehkasse"	"Almetje mij lea staalehke"	"En person som er modig"	"Elgå ref.gruppe"	
"filosovfe"	"filosof"	"prop"	"filosovfe, filosovfese"	"Almetje mij  pryövoe vaestiedassh geerve gyhtjelasside gaavnedidh."	"En som prøver å finne svar på vanskelige spørsmål ved å tenke og stille spørsmål"	"Elgå ref.gruppe"	
"arkitekte"	"arkitekt"	"prop"	"arkitekte, arkitektese"	"Akte mij bïgkemh tjaalehtje   "	"En person som tegner byggverk."	"Elgå ref.gruppe"	
"Faraove"	"farao"	"prop"	"Faraove, Faraovese"	"Egypten gånka"	"Konge i Egypt"	"Elgå ref.gruppe"	
"Ra"	"Ra"	"prop"	"Ra, Raese"	"Egypten Jupmele"	"Gud i Egypt"	"Elgå ref.gruppe"	
"Osirise"	"Osiris"	"prop"	"Osirise, Osirisasse "	"Egypten Jupmele"	"Gud i Egypt"	"Elgå ref.gruppe"	
"Anubise"	"Anubis"	"prop"	"Anubise, Anubisasse"	"Egypten Jupmele"	"Gud i Egypt"	"Elgå ref.gruppe"	
"Apise"	"Apis"	"prop"	"Apise, Apisasse"	"Egypten Jupmele"	"Gud i Egypt"	"Elgå ref.gruppe"	
"Isise"	"Isis"	"prop"	"Isise, Isisasse"	"Egypten Jupmele"	"Gud i Egypt"	"Elgå ref.gruppe"	
"Hathore"	"Hathor"	"prop"	"Hathore, Hathorese"	"Egypten Jupmele"	"Gud i Egypt"	"Elgå ref.gruppe"	
"Ramsese 2."	"Ramses"	"prop"	"Ramsese 2.,      Ramsesasse 2."	"Egypten gånka"	"Konge i Egypt"	"Elgå ref.gruppe"	
"Tutankhamone"	"Tutankhamon"	"prop"	"Tutankhamone, Tutankhamonasse"	"Egypten gånka"	"Konge i Egypt"	"Elgå ref.gruppe"	
"Gilgamesje"	"Gilgamesj"	"prop"	"Gilgamesje, Gilgamesjese"	"Uruken gånka"	"Konge i Uruk"	"Elgå ref.gruppe"	
"Ishtare "	"Ishtar"	"prop"	"Ishtare, Ishtarasse"	"Babylonen gujnesjupmele"	"Gudinne i Babylon"	"Elgå ref.gruppe"	
"Semiramise"	"Semiramis"	"prop"	"Semiramise, Semiramisasse"	"Babylonen trööhnege"	"Dronning i Babylon"	"Elgå ref.gruppe"	
"Ptolemajose"	"Ptolemaios"	"prop"	"Ptolemajose, Ptolemajosasse"	"Egypten faraove"	"Konge i Egypt"	"Elgå ref.gruppe"	
"Afrodite"	"Afrodite"	"prop"	"Afrodite, Afroditese"	"Hellasen gujnesjupmele"	"Gudinne i Hellas"	"Elgå ref.gruppe"	
"Akillese"	"Akilles"	"prop"	"Akillese, Akillesasse"	"Dåaroenïere Hellasistie"	"Hellenistisk kriger"	"Elgå ref.gruppe"	
"Homere"	"Homer"	"prop"	"Homere, Homerasse"	"Tjihtese-tjaelije Hellasistie"	"Dikter i Hellas"	"Elgå ref.gruppe"	
"Sokratese"	"Sokrates"	"prop"	"Sokratese, Sokratesasse"	"Filosofe Hellasistie"	"Filosof i Hellas"	"Elgå ref.gruppe"	
"Zeuse"	"Zeus"	"prop"	"Zeuse, Zeusese"	"Hellasen jupmele"	"Gud i Hellas"	"Elgå ref.gruppe"	
"Stoere Aleksandere"	"Aleksander den store"	"prop"	"Stoere Aleksandere, Stoere Aleksanderasse"	"Makedonijen gånka"	"Konge i Makedonia"	"Elgå ref.gruppe"	
"Julius Cesare"	"Julius Cesar"	"prop"	"Julius Cesare,             Julius Cesarasse"	"Romerrijhken keejsere"	"Kejsere i Romerriket"	"Elgå ref.gruppe"	
"Augustuse"	"Augustus"	"prop"	"Augustuse, Augustusasse"	"Romerrijhken keejsere"	"Kejsere i Romerriket"	"Elgå ref.gruppe"	
"Oktaviane"	"Oktavian"	"prop"	"Oktaviane, Oktavianese"	"Romerrijhken keejsere"	"Kejsere i Romerriket"	"Elgå ref.gruppe"	
"Kleopatra"	"Kleopatra"	"prop"	"Kleopatra, Kleopatrese"	"Egypten trööhnege"	"Dronning i Egypt"	"Elgå ref.gruppe"	
"Nero"	"Nero"	"prop"	"Nero, Nerose"	"Romerrijhken keejsere"	"Kejser i Romerriket"	"Elgå ref.gruppe"	
"Agrippina"	"Agrippina"	"prop"	"Agrippina, Agrippinese"	"Keejsere Neroen ietnie"	"Kejser Neros mor"	"Elgå ref.gruppe"	
"Konstantine"	"Konstantin"	"prop"	"Konstantine, Konstantinese"	"Romerrijhken keejsere"	"Kejsere i Romerriket"	"Elgå ref.gruppe"	
"Dïhte tjïhtjede Gregore"	"Gregor 7"	"prop"	"Dïhte tjïhtjede Gregore, Dan tjïhtjeden Gregorasse"	"Pave"	"Pave"	"Elgå ref.gruppe"	
"Dïhte njealjede Henrike"	"Henrik 4"	"prop"	"Dïhte njealjede Henrike, Dan njealjeden Henrikasse"	"Tysklaanten gånka"	"Konge i Tyskland"	"Elgå ref.gruppe"	
"Jeanne d'Arce"	"Jeanne d'Arc"	"prop"	"Jeanne d'Arce,            Jeanne d'Arcese"	"Staalehke Frankrijhkeste"	"Heltinne fra Frankrike"	"Elgå ref.gruppe"	
"Hildegarde Bingenistie (1098-1179)"	"Hildegard fra Bingen"	"prop"	"Hildegarde Bingenistie (1098-1179) Bingenen Hildegardese"	"Tjihtese-tjaelije jïh kompositöre Tysklaanteste"	"Dikter og kompositør fra Tyskland"	"Elgå ref.gruppe"	
"Snorre Sturlasone"	"Snorre Sturlason"	"prop"	"Snorre Sturlasone,      Snorre Sturlasonese"	"Heimskringlan almetje"	"Person fra den Islandske sagaen"	"Elgå ref.gruppe"	
"Tjeehpes Halvdane"	"Halvdan den svarte"	"prop"	"Tjeehpes Halvdane, Tjeehpes Halvdanese"	"Östlaanten gånka"	"Konge på Østlandet"	"Elgå ref.gruppe"	
"Trööhnege Ragnhilde"	"Ragnhild"	"prop"	"Trööhnege Ragnhilde, Trööhnege Ragnhildese"	"Östlaanten trööhnege"	"Dronning på Østlandet"	"Elgå ref.gruppe"	
"Trööhnege Gyda"	"Gyda"	"prop"	"Trööhnege Gyda, Trööhnege Gydese"	"Östlaanten trööhnege"	"Dronning på Østlandet"	"Elgå ref.gruppe"	
"Harald Hårfagre"	"Harald Hårfagre"	"prop"	"Harald Hårfagre, Harald Hårfagrese"	"Östlaanten gånka"	"Konge på Østlandet"	"Elgå ref.gruppe"	
"Aejlies Olave"	"Olav den hellige"	"prop"	"Aejlies Olave, Aejlies Olavasse"	"Nöörjen gånka"	"Konge i Norge"	"Elgå ref.gruppe"	
"Eirik Blodøkse"	"Eirik Blodøks"	"prop"	"Eirik Blodøkse,                Eirik Blodøksese"	"Nordimbralaanten gånka"	"Konge i Nordimbraland"	"Elgå ref.gruppe"	
"Sigurd Jorsalfare"	"Sigurd Jorsalfare"	"prop"	"Sigurd Jorsalfare,             Sigurd Jorsalfarese"	"Nöörjen gånka"	"Konge i Norge"	"Elgå ref.gruppe"	
"Kublai Khane"	"Kublai Khan"	"prop"	"Kublai Khane,               Kublai Khanese"	"Kinan gånka"	"Konge i Kina"	"Elgå ref.gruppe"	
"Martin Luthere"	"Martin Luther"	"prop"	"Martin Luthere,           Martin Lutherasse"	"Hearra Tysklaanteste"	"Prest fra Tyskland"	"Elgå ref.gruppe"	
"Elisabete I."	"Elisabet I"	"prop"	"Elisabete 1. Elisabetese 1"	"Englaanten trööhnege"	"Dronning i England"	"Elgå ref.gruppe"	
"Ludvige 14."	"Ludvig 14"	"prop"	"Ludvige 14. Ludvigasse 14."	"Frankrijhken gånka"	"Konge i Frankrike"	"Elgå ref.gruppe"	
"Voltaire"	"Voltaire"	"prop"	"Voltaire, Voltairese"	"Filosofe Frankrijhkeste"	"Filosof fram Frankrike"	"Elgå ref.gruppe"	
"Trööhnege Margarete"	"Margarete"	"prop"	"Trööhnege Margarete,       Trööhnege Margaretese"	"Unijonen trööhnege"	"Unionsdronning"	"Elgå ref.gruppe"	
"Valdemar Atterdage"	"Valdemar Atterdag"	"prop"	"Valdemar Atterdage,        Valdemar Atterdagese"	"Danmaarhken gånka"	"Konge i Danmark"	"Elgå ref.gruppe"	
"Håkone 6."	"Håkon 6"	"prop"	"Håkone 6.            Håkonasse 6."	"Nöörjen gånka"	"Konge i Norge"	"Elgå ref.gruppe"	
"Erike Pommeristie"	"Erik av Pommern"	"prop"	"Erike Pommeristie, Pommeren Erikese"	"Unijonen gånka"	"Unionskonge"	"Elgå ref.gruppe"	
"Kristian 3."	"Kristian 3."	"prop"	"Kristian 3. Kristianese 3."	"Danmaarhken gånka"	"Konge i Danmark"	"Elgå ref.gruppe"	
"Lorenzo de Medici"	"Lorenzo de Medici"	"prop"	"Lorenzo de Medici, Lorenzo de Mediciese (ill.sg)"	"Ræjkoes fuelhkie Firensesne"	"Rik slekt i Firense"	"Elgå ref.gruppe"	
"Hatshepsute"	"Hatshepsut"	"prop"	"Hatshepsute, Hatshepsutese"	"Egypten gujnes-faraove"	"Kvinnlig farao i Egypt"	"Elgå ref.gruppe"	
"Faavroes Helena"	"Helena"	"prop"	"Faavroes Helena, Faavroes Helenese"	"Spartan trööhnege"	"Dronning i Sparta"	"Elgå ref.gruppe"	
"Remuse"	"Remus"	"prop"	"Remuse, Remusasse"	"Romerrijhken vaajesen almetje"	"Sagnperson fra Romerriket"	"Elgå ref.gruppe"	
"Livia"	"Livia"	"prop"	"Livia, Liviasse"	"Keejsere Augustusen gåmma"	"Hustru til kejser Augustus"	"Elgå ref.gruppe"	
"Herodote"	"Herodot"	"prop"	"Herodote, Herodotese"	"Historihkere Hellasistie"	"Historiker fra Hellas"	"Elgå ref.gruppe"	
"Stoerre Karle"	"Karl den store"	"prop"	"Stoerre Karle, Stoerre Karlese"	"Frankerrijhken gånka"	"Konge fra Frankerriket"	"Elgå ref.gruppe"	
"Harald Hardråde"	"Harald Hardråde"	"prop"	"Harald Hardråde, Harald Hardrådese"	"Dåaroenïere Nöörjeste"	"Kriger fra Norge"	"Elgå ref.gruppe"	
"Gånka Sverre"	"Sverre"	"prop"	"Gånka Sverre; Gånka Sverrese"	"Nöörjen gånka Gaskeaalteren"	"Norsk konge under Middelalderen"	"Elgå ref.gruppe"	
"Gånka Magnuse"	"Magnus"	"prop"	"Gånka Magnuse, gånka Magnusasse"	"Nöörjen gånka Gaskeaalteren"	"Norsk konge under Middelalderen"	"Elgå ref.gruppe"	
"Ferdinande"	"Ferdinand"	"prop"	"Ferdinande, Ferdinandese"	"Portugalen gånka"	"Konge i Portugal"	"Elgå ref.gruppe"	
"Isabella"	"Isabella"	"prop"	"Isabella, Isabellese"	"Portugalen trööhnege"	"Dronning i Portugal"	"Elgå ref.gruppe"	
"Johan Gutenberge"	"Gutenberg"	"prop"	"Johan Gutenberge, Johan Gutenbergese"	"Tjiehpiedæjja Tysklaanteste"	"Kunstner fra Tyskland"	"Elgå ref.gruppe"	
