"Åarjelsaemien gïele"	"Nöörjen gïele"	"Baakoe-tjïerhte"	"Baakoen syjjehtimmie, nom. jïh ill."	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"
"gujnesjupmele"	"gudinne"	"prop"	"gujnesjupmele,    gujnesjupmielasse"	"Jupmele mij gujne"	"kvinnlig gud"
"keejsere"	"kejser"	"prop"	"keejsere, keejserasse"	"Akte mij laantem reerie. Seamma goh gånka."	"En som styr ett land, motsvarende konge"
"staalehke"	"helt/heltinne"	"prop"	"staalehke, staalehkasse"	"Almetje mij lea staalehke"	"En person som er modig"
"arkitekte"	"arkitekt"	"prop"	"arkitekte, arkitektese"	"Akte mij bïgkemh tjaalehtje   "	"En person som tegner byggverk."
"Faraove"	"farao"	"prop"	"Faraove, Faraovese"	"Egypten gånka"	"Konge i Egypt"
"Ra"	"Ra"	"prop"	"Ra, Raese"	"Egypten Jupmele"	"Gud i Egypt"
"Osirise"	"Osiris"	"prop"	"Osirise, Osirisasse"	"Egypten Jupmele"	"Gud i Egypt"
"Anubise"	"Anubis"	"prop"	"Anubise, Anubisasse"	"Egypten Jupmele"	"Gud i Egypt"
"Apise"	"Apis"	"prop"	"Apise, Apisasse"	"Egypten Jupmele"	"Gud i Egypt"
"Isise"	"Isis"	"prop"	"Isise, Isisasse"	"Egypten Jupmele"	"Gud i Egypt"
"Hathore"	"Hathor"	"prop"	"Hathore, Hathorese"	"Egypten Jupmele"	"Gud i Egypt"
"Ramsese 2."	"Ramses"	"prop"	"Ramsese 2.,      Ramsesasse 2."	"Egypten gånka"	"Konge i Egypt"
"Tutankhamone"	"Tutankhamon"	"prop"	"Tutankhamone, Tutankhamonasse"	"Egypten gånka"	"Konge i Egypt"
"Gilgamesje"	"Gilgamesj"	"prop"	"Gilgamesje, Gilgamesjese"	"Uruken gånka"	"Konge i Uruk"
"Ishtare "	"Ishtar"	"prop"	"Ishtare, Ishtarasse"	"Babylonen gujnesjupmele"	"Gudinne i Babylon"
"Semiramise"	"Semiramis"	"prop"	"Semiramise, Semiramisasse"	"Babylonen trööhnege"	"Dronning i Babylon"
"Ptolemajose"	"Ptolemaios"	"prop"	"Ptolemajose, Ptolemajosasse"	"Egypten faraove"	"Konge i Egypt"
"Afrodite"	"Afrodite"	"prop"	"Afrodite, Afroditese"	"Hellasen gujnesjupmele"	"Gudinne i Hellas"
"Akillese"	"Akilles"	"prop"	"Akillese, Akillesasse"	"Dåaroenïere Hellasistie"	"Hellenistisk kriger"
"Homere"	"Homer"	"prop"	"Homere, Homerasse"	"Tjihtese-tjaelije Hellasistie"	"Dikter i Hellas"
"Sokratese"	"Sokrates"	"prop"	"Sokratese, Sokratesasse"	"Filosofe Hellasistie"	"Filosof i Hellas"
"Zeuse"	"Zeus"	"prop"	"Zeuse, Zeusese"	"Hellasen jupmele"	"Gud i Hellas"
"Stoerre Aleksandere"	"Aleksander den store"	"prop"	"Stoere Aleksandere, Stoere Aleksanderasse"	"Makedonijen gånka"	"Konge i Makedonia"
"Julius Cesare"	"Julius Cesar"	"prop"	"Julius Cesare,             Julius Cesarasse"	"Romerrijhken keejsere"	"Kejsere i Romerriket"
"Augustuse"	"Augustus"	"prop"	"Augustuse, Augustusasse"	"Romerrijhken keejsere"	"Kejsere i Romerriket"
"Oktaviane"	"Oktavian"	"prop"	"Oktaviane, Oktavianese"	"Romerrijhken keejsere"	"Kejsere i Romerriket"
"Kleopatra"	"Kleopatra"	"prop"	"Kleopatra, Kleopatrese"	"Egypten trööhnege"	"Dronning i Egypt"
"Nero"	"Nero"	"prop"	"Nero, Nerose"	"Romerrijhken keejsere"	"Kejser i Romerriket"
"Agrippina"	"Agrippina"	"prop"	"Agrippina, Agrippinese"	"Keejsere Neroen ietnie"	"Kejser Neros mor"
"Konstantine"	"Konstantin"	"prop"	"Konstantine, Konstantinese"	"Romerrijhken keejsere"	"Kejsere i Romerriket"
"Gregore 7."	"Gregor 7"	"prop"	"Gregore 7. Gregorasse 7."	"Pave"	"Pave"
"Henrike 4."	"Henrik 4"	"prop"	"Henrike 4. Henrikasse 4."	"Tysklaanten gånka"	"Konge i Tyskland"
"Jeanne d'Arce"	"Jeanne d'Arc"	"prop"	"Jeanne d'Arce,            Jeanne d'Arcese"	"Staalehke Frankrijhkeste"	"Heltinne fra Frankrike"
"Hildegarde Bingenistie (1098-1179)"	"Hildegard fra Bingen"	"prop"	"Hildegarde Bingenistie (1098-1179) Bingenen Hildegardese"	"Tjihtese-tjaelije jïh kompositöre Tysklaanteste"	"Dikter og kompositør fra Tyskland"
"Snorre Sturlasone"	"Snorre Sturlason"	"prop"	"Snorre Sturlasone,      Snorre Sturlasonese"	"Heimskringlan almetje"	"Person fra den Islandske sagaen"
"Tjeehpes Halvane"	"Halvdan den svarte"	"prop"	"Tjeehpes Halvdane, Tjeehpes Halvdanese"	"Östlaanten gånka"	"Konge på Østlandet"
"Trööhnege Ragnhilde"	"Ragnhild"	"prop"	"Trööhnege Ragnhilde, Trööhnege Ragnhildese"	"Östlaanten trööhnege"	"Dronning på Østlandet"
"Trööhnege Gyda"	"Gyda"	"prop"	"Trööhnege Gyda, Trööhnege Gydese"	"Östlaanten trööhnege"	"Dronning på Østlandet"
"Harald Hårfagre"	"Harald Hårfagre"	"prop"	"Harald Hårfagre, Harald Hårfagrese"	"Östlaanten gånka"	"Konge på Østlandet"
"Aejlies Olave"	"Olav den hellige"	"prop"	"Aejlies Olave, Aejlies Olavasse"	"Nöörjen gånka"	"Konge i Norge"
"Eirik Blodøkse"	"Eirik Blodøks"	"prop"	"Eirik Blodøkse,                Eirik Blodøksese"	"Nordimbralaanten gånka"	"Konge i Nordimbraland"
"Sigurd Jorsalfare"	"Sigurd Jorsalfare"	"prop"	"Sigurd Jorsalfare,             Sigurd Jorsalfarese"	"Nöörjen gånka"	"Konge i Norge"
"Kublai Khane"	"Kublai Khan"	"prop"	"Kublai Khane,               Kublai Khanese"	"Kinan gånka"	"Konge i Kina"
"Martin Luthere"	"Martin Luther"	"prop"	"Martin Luthere,           Martin Lutherasse"	"Hearra Tysklaanteste"	"Prest fra Tyskland"
"Elisabete I."	"Elisabet I"	"prop"	"Elisabete 1. Elisabetese 1"	"Englaanten trööhnege"	"Dronning i England"
"Ludvige 14."	"Ludvig 14"	"prop"	"Ludvige 14. Ludvigasse 14."	"Frankrijhken gånka"	"Konge i Frankrike"
