"Åarjelsaemien gïele"	"Nöörjen gïele"	"Baakoe-tjïerhte"	"Baakoen syjjehtimmie, nom. jïh ill."	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"	"Baakoen gaaltije"
"Luxore"	"Luxor"	"prop"	"Luxore, Luxorasse"	"Staare Egyptesne"	"Stad i Egypt"	"Elgå ref.gruppe"
"Ure"	"Ur"	"prop"	"Ure, Urese"	"Staare Sumerisnie"	"Stad i Sumer"	"Elgå ref.gruppe"
"Uruke"	"Uruk"	"prop"	"Uruke, Urukese"	"Staare Mesopotamijesne"	"Stad i Mesopotamia"	"Elgå ref.gruppe"
"Aswane"	"Aswan"	"prop"	"Aswane, Aswanese"	"Staare Egyptesne"	"Stad i Egypt"	"Elgå ref.gruppe"
"Athene"	"Athene"	"prop"	"Athene, Athenese"	"Staare Hellasisnie"	"Stad i Hellas"	"Elgå ref.gruppe"
"Kairo"	"Kairo"	"prop"	"Kairo, Kairose"	"Staare Egyptesne"	"Stad i Egypt"	"Elgå ref.gruppe"
"Roma, Rome"	"Roma"	"prop"	"Roma, Romese"	"Staare Italijesne"	"Stad i Italia"	"Elgå ref.gruppe"
"Pompeji"	"Pompeji"	"prop"	"Pompeji, Pompejese"	"Staare Italijesne"	"Stad i Italia"	"Elgå ref.gruppe"
"Jerusaleme"	"Jerusalem"	"prop"	"Jerusaleme, Jerusalemese"	"Staare Israelesne"	"Stad i Israel"	"Elgå ref.gruppe"
"Firenze, Florense"	"Firenze"	"prop"	"Firenze,Firenzese,Florensese, Ill.sg. (Sverige)"	"Staare Italijesne"	"Stad i Italia"	"Elgå ref.gruppe"
"Cordoba"	"Córdoba"	"prop"	"Cordoba, Cordobese"	"Staare Spanijesne"	"Stad i Spania"	"Elgå ref.gruppe"
"Alhambra"	"Alhambra"	"prop"	"Alhambra, Alhambrese"	"Staare Spanijesne"	"Stad i Spania"	"Elgå ref.gruppe"
"Lindisfarne"	"Lindisfarne"	"prop"	"Lindisfarne, Lindisfarnese"	"Klostere Englaantesne"	"Kloster i England"	"Elgå ref.gruppe"
"Istanbule"	"Istanbul"	"prop"	"Istanbule, Istanbulese"	"Staare Tyrkijesne"	"Stad i Tyrkia"	"Elgå ref.gruppe"
"Bifroste"	"Bifrost"	"prop"	"Bifroste, Bifrostese"	"Vikingaalteren pruvvie"	"Bru fra Vikintida"	"Elgå ref.gruppe"
"Rouene"	"Rouen"	"prop"	"Rouene, Rouenasse"	"Staare Frankrijhkesne"	"Stad i Frakrike"	"Elgå ref.gruppe"
"Londone"	"London"	"prop"	"Londone, Londonasse"	"Staare Englaantesne"	"Stad i England"	"Elgå ref.gruppe"
"Yorke"	"York"	"prop"	"Yorke, Yorkese"	"Staare Englaantesne"	"Stad i England"	"Elgå ref.gruppe"
"Dubline"	"Dublin"	"prop"	"Dubline, Dublinasse"	"Staare Irlaantesne"	"Stad i Irland"	"Elgå ref.gruppe"
"Calicute"	"Calicut"	"prop"	"Calicute, Calicutese"	"Staare Indijesne"	"Stad i India"	"Elgå ref.gruppe"
"Palose"	"Palos"	"prop"	"Palose, Palosasse"	"Staare Hellasisnie"	"Stad i Hellas"	"Elgå ref.gruppe"
"Lisboa, Lissabone"	"Lisboa"	"prop"	"Lisboa, Lisboese"	"Staare Portugalesne"	"Stad i Portugal"	"Elgå ref.gruppe"
"Bergene"	"Bergen"	"prop"	"Bergene, Bergenasse"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Trankebare"	"Trankebar"	"prop"	"Trankebare, Trankebarese"	"Staare Indijesne"	"Stad i India"	"Elgå ref.gruppe"
"Teherane"	"Teheran"	"prop"	"Teherane, Teheranese"	"Staare Iranesne"	"Stad i Iran"	"Elgå ref.gruppe"
"Sarajevo"	"Sarajevo"	"prop"	"Sarajevo, Sarajevose"	"Staare Bosnia-Hercegovijesne"	"Stad i Bosnia-Hercegovina"	"Elgå ref.gruppe"
"Stavangere"	"Stavanger"	"prop"	"Stavangere, Stavangerasse"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Lillehammere"	"Lillehammer"	"prop"	"Lillehammere, Lillehammerasse"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Drammene"	"Drammen"	"prop"	"Drammene, Drammenasse"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Skjåke"	"Skjåk"	"prop"	"Skjåke, Skjåkese"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Haldene"	"Halden"	"prop"	"Haldene, Haldenasse"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Mosse"	"Moss"	"prop"	"Mosse, Mossese"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Askime"	"Askim"	"prop"	"Askime, Askimasse"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Kongsvingere"	"Kongsvinger"	"prop"	"Kongsvingere, Kongsvingerasse"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Elverume"	"Elverum"	"prop"	"Elverume, Elverumese"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Hamare"	"Hamar"	"prop"	"Hamare, Hamarasse"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Hortene"	"Horten"	"prop"	"Hortene, Hortenasse"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Skiene"	"Skien"	"prop"	"Skiene, Skienasse"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Nuuke"	"Nuuk"	"prop"	"Nuuke, Nuukese"	"Staare Kruanalaantesne"	"Stad på Grønnland"	"Elgå ref.gruppe"
"Tokyo"	"Tokyo"	"prop"	"Tokyo, Tokyose"	"Staare Japanesne"	"Stad i Japan"	"Elgå ref.gruppe"
"Seoule"	"Seoul"	"prop"	"Seoule, Seoulese"	"Staare Åarjel-Koreesne"	"Stad i Sør-Korea"	"Elgå ref.gruppe"
"Sanghai"	"Sanghai"	"prop"	"Shanghai, Shanghajese (ill.sg)"	"Staare Kinesne"	"Stad i Kina"	"Elgå ref.gruppe"
"Hongkonge"	"Honkong"	"prop"	"Hongkonge, Hongkongese"	"Staare Kinesne"	"Stad i Kina"	"Elgå ref.gruppe"
"Giza"	"Giza"	"prop"	"Giza, Gizese"	"Staare Egyptesne"	"Stad i Egypt"	"Elgå ref.gruppe"
"Herculaneume"	"Herculaneum"	"prop"	"Herculaneume, Herculaneumasse"	"Staare Romerrijhkesne"	"Stad i Romerriket"	"Elgå ref.gruppe"
"Siena"	"Siena"	"prop"	"Siena, Sienese"	"Staare Italijesne"	"Stad i Italia"	"Elgå ref.gruppe"
"Nidarose"	"Nidaros"	"prop"	"Nidarose, Nidarosese"	"Staare Nöörjesne"	"Stad i Norge"	"Elgå ref.gruppe"
"Lübecke"	"Lübeck"	"prop"	"Lübecke, Lïbeckese"	"Staare Tysklaantesne"	"Stad i Tyskland"	"Elgå ref.gruppe"
"Brügge"	"Brügge"	"prop"	"Brügge, Brüggese"	"Staare Belgijesne"	"Stad i Belgia"	"Elgå ref.gruppe"
"Novgorode"	"Novgorod"	"prop"	"Novorode, Novgorodese"	"Staare Rysslaantesne"	"Stad i Russland"	"Elgå ref.gruppe"
