"Åarjelsaemien gïele"	"Nöörjen gïele"	"Svöörjen gïele"	"Synonyjme"	"Åarjelsaemien jiehtegh"	"Daaroen jiehtegh"	"Baakoe-tjïerte"	"Baakoen syjjehtimmie"	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"	"Baakoen gaaltije"	"Status"
"åesiestimmie"	"handel; omsetning"	"handel"		"Jïjnjh almetjh åesiestimmine barkin."	"Mange arbeidet med handel."	"substantiv av åesiestidh"	"åesiestimmie, åesiestæmman"	"vaaroej åesteme jïh doekeme"	"kjøp og salg av varer"	"Elgå ref.gruppe"	"Godkjent"
"låtnoe-åesiestimmie "	"byttehandel"	"byteshandel"		"Åvtesne låtnoe-åesiestimmie lij vihkeles."	"Før var byttehandel viktig."	"sammensatt substantiv av låtnoe + åesiestimmie"	"låtnoe-åesiestimmie, låtnoe-åesiestæmman"	"vaaroeh jeatjah vaaroejgujmie maeksedh"	"betale varer med andre varer"	"Elgå ref.gruppe"	"Godkjent"
"låtnoe-åesiestimmine gïehtelidh"	"drive byttehandel"	"bedriva byteshandel"		"Mesopotamijesne låtnoe-åesiestimmine gïehtelin."	"I Mesopotamia drev de på med byttehandel."	"uttrykk"				"Elgå ref.gruppe"	"Godkjent"
"stuvredh"	"kontrollere, ha kontroll over "	"kontrollera, ha kontroll över"		"Nöörje dam nöörjen åesiestimmiem stuvrie."	"Norge kontrollerer norsk handel."	"verb  "		"åesiestimmiem stuvredh"	"kontrollere handelen "	"Elgå ref.gruppe"	"Godkjent"
"åesiestimmiem stuvredh"	"kontrollere handelen"	"kontrollera handeln"		"Ure mearoen åesiestimmiem stuvrie. "	"Ur kontrollerte handelen over havet."	"uttrykk"				"Elgå ref.gruppe"	"Godkjent"
"åesteme"	"kjøp"	"köp"		"Dah sumererh  reeknemassh tjaeliejin/tjeelin åestiemasse jïh doekemasse. "	"Sumerene førte regnskap over kjøp og salg."	"substantiv av åestedh"	"åesteme, åestiemasse"			"Elgå ref.gruppe"	"Godkjent"
"åesiestimmine gïehtelidh"	"drive handel"	"bedriva handel"				"uttrykk"				"Elgå ref.gruppe"	"Godkjent"
"eksporte"	"eksport"	"export"		"Eksportese gööledh."	"Fiske til eksport"	"substantiv  "	"eksporte, eksportese"	"åesiestimmie geekte jallh vielie laanti gaskemsh"	"handel mellom to eller flere land"	"Elgå ref.gruppe"	"Godkjent"
"ålkoerijhkese doekedh"	"eksportere"	"exportera"		"Guelieh mejtie Nöörje galka ålkoerijhkese doekedh."	"Fisk som Norge skal eksportere."	"uttrykk"		"vaaroeh  ålkoerijhkese doekedh"	"selge varer til utlandet"	"Elgå ref.gruppe"	"Godkjent"
"eksporte-industrije"	"eksportindustri"	"exportindustri"		"Eksporte-industrije Nöörjem ræjhkoes dorje. "	"Eksportindustrien gjør Norge rikt."	"sammensatt av eksporte + industrije"	"eksporte-industrije, eksporte-industrijese"	"industrije mij vaaroeh ålkoerijhkese duaka"	"industri som selger varer utenlands"	"Elgå ref.gruppe"	"Godkjent"
"importe"	"import"	"import"		"Nöörjen lea stoerre importe dïmhperistie."	"Norge har stor import av tømmer."	"substantiv"	"importe, importese"	"åesiestimmie geekte jallh vielie laanti gaskemsh."	"handel mellom to eller flere land"	"Elgå ref.gruppe"	"Godkjent"
"ålkoerijhkeste åestedh"	"importere"	"importera"		"Dïmhperh mejtie Nöörje galka ålkoerijhkeste åestedh."	"Tømmer som Norge skal importere."	"uttrykk"		"vaaroeh mejtie ålkoerijhkeste åestedh"	"kjøpe varer fra utlandet"	"Elgå ref.gruppe"	"Godkjent"
