"Åarjelsaemien gïele"	"Nöörjen gïele"	"Svöörjen gïele"	"Synonyjme"	"Åarjelsaemien jiehtegh"	"Daaroen jiehtegh"	"Baakoe-tjïerte"	"Baakoen syjjehtimmie"	"Baakoen definisjovne saemien gïelesne"	"Baakoen definisjovne daaroen gïelesne"	"Baakoen gaaltije"	"Status"
"Forum Romanume"	"Forum Romanum"	"utkant"				"substantiv"	"Forum Romanume, Forum Romanumasse"	"sijjie Romesne"	"plass i Roma"	"Elgå ref. gruppe"	"Godkjent"
"Antihke"	"Antikken"	"Antiken"		"Antihke akte boelhke Europan histovrijesne."	"Antikken er navnet på en periode i europeisk historie."	"substantiv"	"Antihke, Antihkese"	"akte boelhke Europan histovrijesne"	"en periode i europeisk historie"	"Elgå ref. gruppe"	"Godkjent"
"stuvreme-vuekie"	"styresett"	"styresätt"	"reereme-vuekie"	"Dïhte maam akt Hellasen stuvreme-vuekien bïjre jeahta."	"Det forteller noe om styresettet i Hellas. "	"sammensatt substantiv av stuvreme + vuekie"	"stuvreme-vuekie, stuvreme-vuakan"	"akte vuekie guktie laantem stuvredh"	"en måte og styre ett land på"	"Elgå ref. gruppe"	"Godkjent"
"jieleme-vuekie"	"levevis"	"levnadssätt"		"Dïhte maam akt Hellasen jieleme-vuekien bïjre jeahta."	"Det forteller noe om leveviset i Hellas."	"sammensatt substantiv av jieleme + vuekie"	"jieleme-vuekie, jieleme-vuakan"	"guktie almetjh jielieh"	"hvorledes folk lever"	"Elgå ref. gruppe"	"Godkjent"
"prinse"	"prins"	"prins"		"Prinse Helenam soptsestehti satnem dåeriedidh."	"Prinsen overtalte Helena til å følge med ham."	"substantiv"	"prinse, prinsese"	"gånkan baernie"	"sønn av en konge"	"Elgå ref. gruppe"	"Godkjent"
"faavroesvoete   "	"skjønnhet"	"skönhet"		"Helena lij gåvlehke faavroesvoeten åvteste."	"Helena var berømt for sin skjønnhet."	"substantiv av faavroes"	"faavroesvoete, faavroesvoetese"	"tjaebpies almetje"	"et vakkert menneske"	"Elgå ref. gruppe"	"Godkjent"
"skïhpe-laajve"	"skipsflåte"	"skeppsflotta"		"Dah stoerre skïhpe-laajvem tjöönghkin jïh dej mïnngesne vöölkin."	"De samlet en stor flåte av skip og reiste etter dem."	"sammensatt substantiv av skïhpe + laajve"	"skïhpe-laajve, skïhpe-laajvese"	"jïjnjh skïhph ektesne"	"mange skip til sammen"	"Elgå ref. gruppe"	"Godkjent"
"Akillesen soene"	"Akillessene"	"Akillessena"		"Dïhte soene mij njïetsegen åedtjiem båatskan debrehte."	"Senen som fester leggmuskelen i hælen kalles akillessenen."	"sammensatt substantiv Akillese + soene"	"Akillesen soene, Akillesen soenese"	"båetskie-soene"	"hælsene"	"Elgå ref. gruppe"	"Godkjent"
"moere-hierkie"	"trehest"	"trähäst"		"Dah stoerre moere-hierkiem darjoejin."	"De laget en stor trehest."	"sammensatt substantiv av moere + hierkie"	"moere-hierkie, moere-hearkan"	"hierkie moereste "	"hest av tre"	"Elgå ref. gruppe"	"Godkjent"
"Ilijaade"	"Iliaden"	"Illiaden"		"Illijaade vaajesem Trojan bïjre soptseste."	"Illiaden forteller oss sagnet om Troja."	"substantiv"	"Ilijaade, Ilijaadese"	"tjihtese, dikte"	"dikt"	"Elgå ref. gruppe"	"Godkjent"
