altasasse	dïhte+Pron+Pers+Sg+Ill+PxSg3

altasissie	dïhte+Pron+Refl+Sg+Ill+PxPl3

altemse	dïhte+Pron+Pers+Sg3+Acc
altemse	dïhte+Pron+Pers+Sg+Acc+PxSg3

daej	daate+Pron+Dem+Pl+Gen

daen	daen	+?  daate+Pron+Dem+Sg+Gen

dajgujmie	dah+Pron+Pers+Pl3+Com

dijje	dijjieh+Pron+Pers+Pl2+Nom

doejgujmie	doete+Pron+Dem+Pl+Com

donne	donne	+?

donnem	donnem	+?

donnesne	donnesne	+?

donneste	donneste	+?

donnine	donnine	+?

dotnoej	dåtnoeh+Pron+Pers+Du2+Nom

dovnem	dovne+N+Sg+Acc

dovnem	dovne+N+Sg+Acc

dovnen	dovne+N+Sg+Gen

dovnen	dovne+N+Sg+Gen

dovnene	dovne+N+Sg+Gen+PxSg1

dovnese	dovne+N+Sg+Ill
dovnese	dovne+N+Sg+Nom+PxSg3

dovnese	dovne+N+Sg+Ill
dovnese	dovne+N+Sg+Nom+PxSg3

dovnesh	dovnesh+Pron+Coll+Pl+Nom

dovnesi	dovnesh+Pron+Coll+Pl+Gen

dovnesidie	dovnesh+Pron+Coll+Pl+Ill
dovnesidie	dovnesh+Pron+Coll+Pl+Acc

dovnesidie	dovnesh+Pron+Coll+Pl+Ill
dovnesidie	dovnesh+Pron+Coll+Pl+Acc

dovnesigujmie	dovnesh+Pron+Coll+Pl+Com

dovnesijstie	dovnesh+Pron+Coll+Pl+Ela

dovnesinie	dovnesh+Pron+Coll+Pl+Ine

dovnesne	dovne+N+Sg+Ine

dovnesne	dovne+N+Sg+Ine

dovneste	dovne+N+Sg+Ela

dovneste	dovne+N+Sg+Ela

dovnh	dovne+N+Pl+Nom

dovnh	dovne+N+Pl+Nom

dovni	dovne+N+Pl+Gen

dovni	dovne+N+Pl+Gen

dovnide	dovne+N+Pl+Ill
dovnide	dovne+N+Pl+Acc

dovnide	dovne+N+Pl+Ill
dovnide	dovne+N+Pl+Acc

dovnide	dovne+N+Pl+Ill
dovnide	dovne+N+Pl+Acc

dovnide	dovne+N+Pl+Ill
dovnide	dovne+N+Pl+Acc

dovnigujmie	dovne+N+Pl+Com
dovnigujmie	dovne+N+PlGenCmp#gujmie+N+Sg+Nom

dovnigujmie	dovne+N+Pl+Com
dovnigujmie	dovne+N+PlGenCmp#gujmie+N+Sg+Nom

dovnigujmie	dovne+N+Pl+Com
dovnigujmie	dovne+N+PlGenCmp#gujmie+N+Sg+Nom

dovnijste	dovne+N+Pl+Ela

dovnijste	dovne+N+Pl+Ela

dovnine	dovne+N+Ess
dovnine	dovne+N+Pl+Ine
dovnine	dovne+N+Sg+Com

dovnine	dovne+N+Ess
dovnine	dovne+N+Pl+Ine
dovnine	dovne+N+Sg+Com

dovnine	dovne+N+Ess
dovnine	dovne+N+Pl+Ine
dovnine	dovne+N+Sg+Com

dovnine	dovne+N+Ess
dovnine	dovne+N+Pl+Ine
dovnine	dovne+N+Sg+Com

dovnine	dovne+N+Ess
dovnine	dovne+N+Pl+Ine
dovnine	dovne+N+Sg+Com

dovnine	dovne+N+Ess
dovnine	dovne+N+Pl+Ine
dovnine	dovne+N+Sg+Com

duej	doete+Pron+Dem+Pl+Gen
duej	doete+Pron+Dem+Pl+Com+Attr

duej	doete+Pron+Dem+Pl+Gen
duej	doete+Pron+Dem+Pl+Com+Attr

duejgujmie	doete+Pron+Dem+Pl+Com

duhtie	dohte+Pron+Dem+Sg+Ela+Attr

dunnie	dohte+Pron+Dem+Sg+Ine+Attr

dutnjan	datne+Pron+Pers+Sg2+Ill

dyjgujmie	dohte+Pron+Dem+Pl+Com

eatja	eatjah+Pron+Indef+Sg+Nom

eatjaah	eatjaah	+?

eatjah	eatjah+Pron+Indef+Pl+Nom

eatjaj	eatjah+Pron+Indef+Pl+Gen

eatjajgujmie	eatjah+Pron+Indef+Pl+Com

eatjam	eatjah+Pron+Indef+Sg+Acc

eatjan	eatjah+Pron+Indef+Sg+Gen

eatje	eatjah+Pron+Indef+Sg+Nom

eatjem	eatjah+Pron+Indef+Sg+Acc

eatjen	eatjah+Pron+Indef+Sg+Gen
eatjen	eatjah+Pron+Indef+Sg+Ill+Attr

eatjene	eatjah+Pron+Indef+Sg+Ine+Attr

eatjese	eatjah+Pron+Indef+Sg+Ill

eatjesne	eatjah+Pron+Indef+Sg+Ine

eatjeste	eatjah+Pron+Indef+Sg+Ela

eatjh	eatjah+Pron+Indef+Pl+Nom

eatji	eatjah+Pron+Indef+Pl+Gen

eatjide	eatjah+Pron+Indef+Pl+Ill
eatjide	eatjah+Pron+Indef+Pl+Acc

eatjide	eatjah+Pron+Indef+Pl+Ill
eatjide	eatjah+Pron+Indef+Pl+Acc

eatjigujmie	eatjah+Pron+Indef+Pl+Com

eatjijste	eatjah+Pron+Indef+Pl+Ela

eatjine	eatjah+Pron+Indef+Ess
eatjine	eatjah+Pron+Indef+Pl+Ine
eatjine	eatjah+Pron+Indef+Sg+Com

eatjine	eatjah+Pron+Indef+Ess
eatjine	eatjah+Pron+Indef+Pl+Ine
eatjine	eatjah+Pron+Indef+Sg+Com

eatjine	eatjah+Pron+Indef+Ess
eatjine	eatjah+Pron+Indef+Pl+Ine
eatjine	eatjah+Pron+Indef+Sg+Com

fïereguhte	fïereguhte+Pron+Indef+Sg+Nom

fïereguhtem	fïereguhte+Pron+Indef+Sg+Acc

fïereguhten	fïereguhte+Pron+Indef+Sg+Gen
fïereguhten	fïereguhte+Pron+Indef+Sg+Ill+Attr

fïereguhtene	fïereguhte+Pron+Indef+Sg+Ine+Attr

fïereguhtese	fïereguhte+Pron+Indef+Sg+Ill

fïereguhtesne	fïereguhte+Pron+Indef+Sg+Ine

fïereguhteste	fïereguhte+Pron+Indef+Sg+Ela

fïereguhth	fïereguhte+Pron+Indef+Pl+Nom

fïereguhti	fïereguhte+Pron+Indef+Pl+Gen

fïereguhtide	fïereguhte+Pron+Indef+Pl+Ill
fïereguhtide	fïereguhte+Pron+Indef+Pl+Acc

fïereguhtide	fïereguhte+Pron+Indef+Pl+Ill
fïereguhtide	fïereguhte+Pron+Indef+Pl+Acc

fïereguhtigujmie	fïereguhte+Pron+Indef+Pl+Com

fïereguhtijste	fïereguhte+Pron+Indef+Pl+Ela

fïereguhtine	fïereguhte+Pron+Indef+Ess
fïereguhtine	fïereguhte+Pron+Indef+Pl+Ine
fïereguhtine	fïereguhte+Pron+Indef+Sg+Com

fïereguhtine	fïereguhte+Pron+Indef+Ess
fïereguhtine	fïereguhte+Pron+Indef+Pl+Ine
