"aablarostedh"	"v5"	"bli lat "
"aalterostedh"	"v5"	"eldes, dø av alderdom, gå bort"
"borserostedh"	"v5"	"flomme over"	"(om elv)"
"byøredh"	"v5"	"burde, skulle, måtte"	"(byørem prihtjegem åestedh-jeg bør/ må kjøpe kaffe)"
"bårrestohtedh"	"v5"	"sulte, bli sulten"
"bååhperostedh"	"v5"	"bli forundret, bli forfjamset"
"dahpelostedh"	"v5"	"pusten miste-"
"dongkedh, dyngkedh"	"v5"	"tinge, bestille"
"eajparostedh"	"v5"	"ombestemme seg, skifte mening, plutselig komme i tvil om berettigelsen el. riktigheten av en  tidligere bestemmelse"
"gaptjelostedh"	"v5"	"bli lukket"
"garmaridh"		"uoppfodret gi håndsrekning, bli fornøyd"	"(over ros el. at en lykkes med noe), få økt selvtillit"
"garmarostedh"	"v5"	"uoppfodret gi håndsrekning, bli fornøyd"	"(over ros el. at en lykkes med noe), få økt selvtillit"
"gïebrelostedh"	"v5"	"vikle seg inn, bli viklet inn"
"gyöntedh"	"v5"	"havne, bære hen"	"(gåabph gyöntidh?-hvor bar det hen med dere?)"
"gåavvarostedh"	"v5"	"gi opp, bli motløs"
"sååjhtedh"	"v5"	"tilfeldigvis komme til å"	"(tilfeldigvis for meg-munnjien jis sååjhti)"
