"aablarostedh"		"v5"	"bli lat "
"aahpeldidh"		"v"	"spotte, harselere, gjøne, gjøre narr av, håne"
"aajhpehtovvedh"		"v4"	"gi opp"
"aajhtedh"		"v"	"true"
"aajhtsedh"		"v4"	"merke, bli var, legge merke til, oppdage"
"aajkelidh"		"v"	"lunke på, varme litt"
"aalhtedh"		"v4"	"semske, berede skinn, skrape av kjøtthinnen og gni skinnet mykt"
"aalhtedidh"		"v"	"berede flere skinn holde på å-"
"aalterostedh"		"v5"	"eldes, dø av alderdom, gå bort"
"aanodh"		"v2"	"be pent, tigge"
"aanoehtidh"		"v"	"be innstendig, bønnfalle om"	"(nåde)"
"aarhkalastedh"		"v1"	"forbarme seg, ha barmhjertighet med, vise solidaritet ovenfor, vise medynk med"
"aarmalestedh"		"v1"	"ynkes"	"(ynkes over deg-dov bijre aarmalestedh)"
"aarmoedidh"		"v"	"forbarme seg over noen, synes synd på"
"aarmoehtidh"		"v"	"vise barmhjertighet, synes inderlig synd på, ha medlidenhet med"
"aarmoelostedh"		"v"	"synes synd på, forbarme seg over noen"
"aarvadalledh"		"v4"	"mene, anta, tro"
"aassjoestehtedh"		"v1"	"hate, tilrettevise, avvise, forby strengt, jage vekk"
"aassjoestidh"		"v1"	"forby strengt, jage vekk, hate, tilrettevise, avvise"
"aassjoetovvedh"		"v"	"foraktes, hånes, bli gjort narr av"
"aatskadidh"		"v"	"ta til med, forsøke"
"aavoedehtedh"		"v"	"glede andre"
"aavoedidh"		"v"	"glede seg, være glad, bli glad"
"aejhtedh"		"v1"	"true"
"aejhtiestidh"		"v"	"true"
"aejliestidh"		"v"	"hellig gjøre-, holde hellig"
"aejliestovvedh"		"v"	"hellig bli gjort/holdt-"
"aejviestidh"		"v"	"rope, kalle på"
"aelkedh"		"v"	"begynne"
"aeltiestidh"		"v"	"takke"
"aeredh"		"v1"	"hindre, hefte, hindre gangen"	"(om trange bukser)"
"aerviedidh"		"v"	"anta, forstå, ane, anslå"	"aerviedim hov"	"(jeg skjønte det nok/det ante meg nok"
"aeskedh"		"v1"	"jage vekk"	"(hund)"
"aeskielidh"		"v"	"jage bort"	"(uten selv å følge med)"
"ahkedh"		"v"	"stadig, uten opphold"	"(ahkedh tjuatsa-det snør uavbrutt)"	"(ahkedh tjieskesji-han holdt på i ett)"
"ajpestidh"		"v"	"avlive rein med nakkestikk, stikke"	"(rein) i nakken"
"ajvedh"		"v4"	"farte omkring"
"alvehgodtedh"		"v"	"redd bli-"	"(dellie amma alvehgådti jih idtji doesth nyøjhkedh)"
"alvehtovvedh"		"v"	"bli skrekkslagen, redd, forferdet"
"arhkanidh"		"v"	"(å bli -), komme til skade"	"skadet"	"(dihte alma idtji guktie gannh arhkenh)"
"arhpedh"		"v4"	"tålmodighet til ha-"	"(idtjim manne arhph guhkebem tjahkasjidh-jeg hadde ikke tålmodighet til å sitte lenger)"
"arhtegåetedh"		"v1"	"begynne å bli urolig, begynne å lengte"
"arkanidh"		"v"	"komme til skade"
"armaridh"		"v"	"forbarme seg"
"armoedehtedh"		"v1"	"forarge, fornærme"
"armoedidh"		"v"	"forarge, fornærme"
"astedh"		"v4"	"ha tid til noe"
"asvedidh"		"v"	"bli redd"
"baahkedidh"		"v"	"varme opp"
"baahtsedh"		"v"	"forsere";	"smelle gå av - om skudd"
"baajedh"		"v"	"la, tillate"	"(baajh mannem lohkedh-la meg lese!)"	"(baajh numhtegh!-la det være sånn som det er!)"
"baajhtestidh"		"v"	"(rein) fra et sted til et annet, drive vekk"
"baakoehtidh"		"v"	"stave"
"baaltedidh"		"v"	"skille rein"
"baartahtalledh"		"v4"	"(hodet)"	"riste på"	"(aehtjie åajjah baartahtalla-far rister på hodet)"
"baataridh"		"v"	"forflytte seg, fjerne seg, flykte"
"baaveldidh"		"v"	"plapre, skvaldre"
"baaverdidh"		"v"	"streve, bale på"
"baavhkodh"		"v"	"bakse opp"
"badtehtidh"		"v"	"senke, fire ned"
"badtjadidh"		"v"	"smøre"	"(treavkide badtjadidh-smøre skiene)"	"(gaamegh badtjadidh)"
"baejhtedh"		"v1"	"jage på, drive"	"(rein), få til å bevege seg bort"	"- v."	"I"
"baektjiegåetedh"		"v1"	"vondt begynne å gjøre-"
"baeledh"		"v1"	"grave unna, gjøre rent i kåta, måke snø"
"baetsedh"		"v1"	"etter bli-, bli igjen"
"bajjehtidh"		"v"	"påstå hårdnakket, presisere, fastslå"
"bajjesidh"		"v"	"påståelig være-, envis"
"bajkedh"		"v"	"røyte"
"barhkedh"		"v"	"drysse"
"barkedh"		"v4"	"arbeide"
"bartestehtedh"		"v1"	"beskytte mot uheldig innflytelse, påvirkning, sette opp beskyttelse mot varmestråling i kåte"
"baskedh"		"v4"	"stikke, stikke igjennom, stinge, gjøre vondt, stange"	"(med horn)"
"baskedidh"		"v"	"stikke seg, stikke hverandre, stanges"
