g'ïjre	gïjre
gieltie	gielhtie
giësedh	giesedh
gïetskie	gietskie
giëttjedidh	gïehtjedidh
g'ïjgedh	gïjkedh
giëmbe	gïemhp
goådie	gåetie
giëmbeslaagaan	gïemhpeslaakan
giëŋele	gïengele
stuore	stoere
leäh	leah
jaavrie	jaevrie
giërestakke	gïerestahke
gier'etse#daalkie	gïerehtse#daelkie
giergie	gierkie
Giergietjakke	Gierkietjahke	
gieriedidh	gieriedidh
Gierkiebuorke	Gierkieboerke
giësedjaddedh	gïesetjadtedh
giëseldakke	gïeseldahke
maanaa	maana
guvledh	govledh
gaavnedh	gaavnedh
lijnie	lijnie
siejbie	siejpie
hievnie	hievnie
oåbbaa	åabpa
guölie	guelie
boådd'edh	båetedh
aalg'edh	aelkedh
doåriedidh	dåeriedidh
biesie	biesie
biessie	biessie
aakkaa	aahka
aalduo	aaltoe
eäluo	ealoe
b'ïssedh	bïssedh
b'ööbmedidh	byöpmedidh
buolde	boelte
tjaadsie	tjaetsie
dreävgaa	treavka
spajte	speajhte
stuore	stoere
skaarjaa	skaarja
skierrie	skierrie
naastie	naestie
tjuoppestidh	tjoehpestidh
jaabie	jaepie
gïede	gïete
baaguo	baakoe
jiegie	jiekie
säädd'edh	seedtedh
bikk'edh	bikedh
gigg'edh	bigkedh
äbrie	ebrie
vuopte	voepte
njuoktjeme	njoektjeme
giergie	gierkie
tjuvge	tjovke
baajedh	baajedh
tjööll'e	tjöölle
viëlle	vielle
jïlle	jïlle
nuore	noere
oår'üve	åeruve
jiel'eme	jieleme
suoppenje	soehpenje
svirr'ege	svirrege
fuörsie	fuersjie
gümšie	gumsie
muore	moere
gärnj'ere	gernjere
sjïjle	sjïjle
aajruo	aajroe
guöjmie	guejmie
šuöjnie	suejnie
bieljie	bieljie
g'ärjaa	gærja
tjïjtje	tjïjhtje
suvpie	suvhpie
s'ïlbe	sïlpe
gierkie	gierhkie
g'ärkuo	gærhkoe
aartse	aarhtse
veäsudh	veasodh
tjoåddjudh	tjåadtjodh
büst'e	buste
vädd'edh	vedtedh


